code,price,frequency,name
"125652","26.99","76","125652"
"133996","92.85","76","133996"
"INTERC","7.5","76","INTERC"
"TREA1","6.94","76","TREA1"
"HOSP","100.12","76","Hospitalization - Single Day Admission"
"BG1","33","76","Blood Glucose - First"
"VACCFELA","99","76","Leukemia Combined"
"GENAL3","233.9","76","General Health (17) CBC  Lytes  SDMA"
"107355","56.53","75","107355"
"PE5A","245","74","Pediatric(<5 Months) Feline Spay"
"J4","17.93","74","J4"
"100048","15","73","100048"
"128164","25.2","73","128164"
"INTERCEP","14","73","INTERCEP"
"318","164","72","Cremation Private Scatterbox Of Ashes"
"119996","66.51","72","119996"
"127380","77.99","72","127380"
"131704","26.04","72","131704"
"VACCLA","90","72","Fel- Adult  FVRCP + Leuk"
"8016","43.72","71","8016"
"130004","56.98","71","130004"
"E-COLLAR","9.35","71","E-COLLAR"
"116432","17.94","70","116432"
"136211","35.9","70","Total T4/SDMA Combo"
"402A","160","70","402A"
"MISCI","25","70","MISCI"
"119322","52.99","69","119322"
"123875","32","69","123875"
"125207","53.1","69","125207"
"AGF","66","69","Anal Gland Expression & Infusion"
"OMEGAD8","23.92","69","OMEGAD8"
"FL1","43.9","69","Schirmer Tear Test(Per Patient)"
"MED 201","40.95","69","MED 201"
"CLAVA","20","69","CLAVA"
"CANIN7","22.2","69","CANIN7"
"133026","24.91","68","133026"
"137173","46.99","68","137173"
"140690","36.12","68","140690"
"0012","349","68","Canine - Spay 10.1-24kg"
"1003","24","67","ADULT DA2PPV COMBINED ( 1YEAR)"
"104861","39.8","67","104861"
"PRCREM22","240","67","PRCREM22"
"SQFK","26","67","SQFK"
"118600","67.68","66","118600"
"122268","30","66","122268"
"124311","61.4","66","124311"
"ORA1","58","66","ORA1"
"HNS","97","66","Health Exam Non-Scheduled Appointment"
"0026A","169","66","0026A"
"8515","23","65","8515"
"125654","65.98","65","125654"
"STAT1","155","65","Histopathology Histovet"
"130016","34.5","64","130016"
"123318","13.52","63","123318"
"128909","51","63","128909"
"LEUK","10","63","LEUK"
"119890","12.22","62","119890"
"00012","80.19","62","Sedation IM 10-20 kg"
"PLT","53.9","62","Pancreatic Lipase Test"
"IVF","65","62","IVF"
