treatment_code,description,list_price,confidence,tier,window_used,window_charges,mode_share_pct,second_price,second_count,third_price,third_count,list_price_365d,confidence_365d,uses_365d,revenue_365d,price_changed
140365,"Librela - 15mg/ml (First Vial)",93.64,56,MEDIUM,365d,37,54.1,79.91,14,100.64,2,93.64,56,37,3274.8,false
139644,"RC Fel Renal Support Early - 85g",95.04,71,MEDIUM,365d,30,63.3,190.08,5,47.52,2,95.04,71,30,3264.9,false
144178,"Solensia - 7mg/ml",44.44,38,LOW,180d,30,33.3,96.44,9,89.77,7,89.77,39,41,3261.27,true
119002,"PVD K9 EN - 380g",66.6,69,MEDIUM,365d,41,53.7,133.2,4,213.12,3,66.6,69,41,3251.19,false
138254,"RC K9 Urinary SO - 11.5kg",136.73,85,HIGH,365d,24,83.3,142.19,2,98.44,2,136.73,85,24,3215.86,false
113573,"Hills Fel c/d Ocean Fish - 5.5oz",75.12,49,LOW,365d,59,23.7,6.26,5,150.24,5,75.12,49,59,3213.93,false
135950,"Interceptor Plus Chew Blue (22.8-45.4KG)",50.42,41,LOW,365d,68,33.8,28.46,21,40.46,9,50.42,41,68,3173.8,false
0929,"Senior Canine Gold Package Promo",395,91,HIGH,365d,8,100,,0,,0,395,91,8,3160,false
SHAVE,"Lion Shave with sedation",193.4,94,HIGH,365d,16,100,,0,,0,193.4,94,16,3094.4,false
140387,"PVD Fel EN Savory Selects Chicken - 156g",88.56,56,MEDIUM,365d,45,37.8,22.14,6,7.38,4,88.56,56,45,3076.91,false
106544,"Vetmedin 1.25mg",69,52,MEDIUM,365d,47,34,63,7,61.2,6,69,52,47,3052.84,false
140367,"Librela - 30mg/ml (First Vial)",102.4,64,MEDIUM,365d,31,61.3,87.19,9,110.14,2,102.4,64,31,3040.07,false
115315,"Clavaseptin - 500mg Tabs",90.8,53,MEDIUM,365d,37,35.1,67.16,5,78.6,4,90.8,53,37,3014.9,false
107355,"Surolan Drops 30mL",87.72,40,LOW,365d,35,31.4,91.12,9,76.91,9,87.72,40,35,3005.19,false
140309,"Feliway Friends Diffuser + Refill",149.48,58,MEDIUM,365d,26,57.7,74.74,9,37.37,2,149.48,58,26,2989.6,false
0110,"Foreign Body/Exploratory 1hr",985.8,87,HIGH,365d,3,100,,0,,0,985.8,87,3,2957.4,false
117503,"PVD K9 HA Vegetarian - 7.48kg",128.1,66,MEDIUM,365d,23,60.9,119.71,5,133.22,4,128.1,66,23,2924.83,false
