treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
117503,"PVD K9 HA Vegetarian - 7.48kg",128.1,2025-11-01,5,73,MEDIUM,75,8,133.22,2,,0,false,,0,8,1035.04
TOTT 4,"Total T4 (In Clinic)",53.95,2025-12-01,4,82,HIGH,100,7,,0,,0,false,,0,13,1025.05
CLIPCL,"Clip & Clean Abscess/Wound per 10 mins",89.9,2025-11-01,5,71,MEDIUM,70,10,134.85,1,44.95,1,false,,0,11,1023.9
130986,"Hills K9 i/d Low Fat - 27.5lbs",335.76,2025-02-01,4,52,MEDIUM,50,4,332.16,1,349.18,1,false,,0,3,1020.7
IV,"IV Catheter Placement",49,2024-01-01,18,100,HIGH,99.1,109,29.4,1,,0,false,,0,21,1009.4
137233,"Hills Fel GI Biome - 4lbs",37,2020-02-01,8,64,MEDIUM,50,10,40.98,1,42.98,1,true,57.56,1,19,1002.84
GPCU,"Geriatric Panel + Pancreatic Lipase + UA",331.9,2026-01-01,2,70,MEDIUM,100,3,,0,,0,false,,0,3,995.7
0110,"Foreign Body/Exploratory 1hr",985.8,2025-12-01,1,63,MEDIUM,100,1,,0,,0,false,,0,1,985.8
PLT,"Pancreatic Lipase Test",53.9,2025-02-01,9,93,HIGH,95.5,22,13.48,1,,0,false,,0,19,983.68
104862,"Metacam Oral 1.5mg/ml Bct 32ml",72.59,2019-02-01,3,74,MEDIUM,90,10,80.13,1,,0,true,82.21,2,13,976.27
GERFT4,"Idexx Geriatric Panel w Free T4",324.9,2026-01-01,1,67,MEDIUM,100,3,,0,,0,false,,0,3,974.7
URINEC,"Urine Collection",607.6,2025-03-01,3,62,MEDIUM,75,4,364.56,1,,0,false,,0,2,972.16
128551,"Hills Fel c/d Ocean Fish - 4lbs",44.65,2025-08-01,4,78,HIGH,90,10,46.44,1,,0,true,46.44,1,22,968.32
115315,"Clavaseptin 500mg tablets",98.2,2024-02-01,5,71,MEDIUM,70,10,253.36,1,72.34,1,true,54.8,1,14,964.2
METSYRIN,"Metacam 1.5mg/ml",12.39,2026-01-01,2,28,LOW,16.7,6,19.6,1,14.73,1,true,20.88,1,56,963.2
119002,"PVD K9 EN - 380g",55.5,2025-06-01,3,34,LOW,25,4,133.2,1,33.3,1,true,133.2,1,12,962.37
144620,"Gabapentin 400mg (AURO)",36,2025-08-01,2,51,MEDIUM,60,5,32,2,,0,true,12.44,1,33,947.78
139691,"Douxo Pyo Pads",41.63,2025-08-01,3,79,HIGH,100,8,,0,,0,true,53.63,1,23,933.83
GASTP,"DECLINED: Gastropexy (add on - spay)",465,2025-12-01,1,65,MEDIUM,100,2,,0,,0,false,,0,2,930
CORR,"Cortisol (Random) OUT",131.9,2026-01-01,2,74,MEDIUM,100,7,,0,,0,false,,0,7,923.3
