treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
HC,"Health Exam - Canine",80,64.1,1322,80,63.5,1336,80,64.1,1362,109950.8,false
HEF,"Health Exam - Feline",80,58.7,479,86,47.4,665,80,58.8,906,72797.2,false
0714,"Urgent Pet Care Office Visit",92.5,84.1,88,92.5,76.1,218,80,73.1,729,59850.14,true
GERI,"Geriatric Panel",270,81.3,48,270,88.6,88,270,92.8,166,43313.4,false
BLO,"Blood collection",41.35,96.9,162,41.35,97.9,341,41.35,97.8,680,28719.65,false
F2Y,"Feline FVRCP + Chlamidia 1Yr",35,45.2,790,35,45.2,790,35,44.8,796,26961.9,false
GERPUW,"Geriatric Panel + Urinalysis",342.9,70.4,27,303.9,53.5,43,303.9,70,70,21998.1,true
2VW,"X-Rays   2 Views",225,86.7,15,225,85.2,27,225,93.6,78,17596,false
CYSTO,"Urine collection",46.8,97.8,90,46.8,98.2,167,46.8,98.4,319,14863.68,false
GPCPL,"Geriatric Panel + Pancreatic Lipase",308.9,100,20,308.9,100,24,308.9,100,46,14209.4,false
402A,"Extractions - Major",128,40,20,128,28.6,28,98,32,50,12476.1,true
109257,"DECLINED: Microchip",60,100,18,60,99,100,60,98.5,202,12066,false
DENTCALA,"Dental - Canine < 50 lb",445,38.9,18,375,36.4,22,375,52.9,34,11963,true
142836T,"Apoquel Chewable tablets 16mg(per tab)",103.2,44.4,9,366,22.2,27,70.2,8.4,83,11767.28,true
GENPA2,"DECLINED: Pre- Anesthetic (10) CBC Lytes",96,69.7,33,96,82.8,58,96,84.3,115,10309.1,false
ISOPERH,"Anesthesia - Isoflurane/Hr",248.4,33.3,3,552,53.8,13,552,55.6,18,10101.6,true
2VWA,"Chest X-Rays (2L+Vd)",270,100,14,270,100,30,270,100,35,9450,false
CYTOLOGY,"Ear Swab/ Microscopic Exam",57.6,88.2,34,57.6,88.5,78,57.6,92.8,166,9324.64,false
402,"Extractions - Minor",98,45.5,22,98,31.3,32,58,24,50,9072.9,true
132100,"Apoquel 5.4mg (100 tabs)",,,0,,,0,4454.85,100,2,8909.7,
136040,"Convenia Inj. 80mg/mL",61.81,10.5,19,75.26,9.2,65,52.17,4,149,8785.06,true
HEXAM,"Health Exam",86,100,22,86,92.3,65,86,56.1,107,8615.6,false
SQ,"SQ Fluids",55,94.1,34,55,97,67,55,98.1,157,8591,false
142835,"Apoquel Chewable tab 5.4mg (100 tabs)",,,0,,,0,4253.25,100,2,8506.5,
FEFIV,"DECLINED: FELV/FIV Snap Test IN",63.9,100,22,63.9,100,70,63.9,100,133,8498.7,false
0023,"Feline - Spay",298,80,10,129.6,44,25,129.6,45.5,44,8394.8,true
SEDIM,"Sedation- IM < 10 kg",61.11,100,31,61.11,100,64,61.11,99.3,134,8219.29,false
URIN2,"Urinalysis Full IN",95.7,84,25,95.7,87.5,48,95.7,88.8,89,8149.91,false
132101T,"Apoquel 16mg (per tab)",122.4,66.7,3,232.2,26.7,15,122.4,13,46,8141.75,false
117505,"PVD Fel UR ST/OX - 7.26kg",118.24,78.6,14,113.69,53.8,26,111.45,64.8,71,8019,true
WBMD1,"DECLINED: Histology w Micro Description",353.9,100,3,330.5,82.4,17,330.5,87.5,24,8002.2,true
303A,"Euthanasia Attended (Client)",180,100,9,180,100,17,180,100,44,7920,false
DENTALB,"Dental Block/Quadrant",125.2,64,25,125.2,68.3,41,125.2,52.5,61,7806.22,false
125207,"Clavamox Drops 62.5mg/ml 15ml",59.69,37.9,29,59.69,60.4,48,59.69,53.9,76,7802.29,false
TOTT 4,"Thyroid IN",53.95,100,12,107.9,51.5,33,107.9,79.7,79,7660.9,true
408,"Oral Timed Surgery /10 Min",,,0,,,0,652.8,25,8,7616,
0022,"Feline Neuter",120,40,5,120,56,25,120,68.2,66,7381.8,false
99005471,"Gabapentin 100mg/ml Aqueous",33.8,18,61,44.7,14.4,139,44.7,9,234,7103.92,true
FTES,"Fluid Therapy - Elective Surgery",55,76.9,13,55,72.2,79,55,77,139,6976.75,false
MEDSM,"Take Home Medications - Small",50,66.7,33,50,80,55,50,83.3,120,6955,false
115191,"Cerenia Injection",53.77,7.1,84,18.38,7,115,18.38,4.7,170,6655.11,true
HCR,"Health Exam Recheck Canine",69,92.3,13,69,76.7,30,65,74.5,102,6650.9,true
140513,"RC Fel Urinary SO - 145g",69.6,50,16,69.6,64.5,31,69.6,53.1,96,6495.68,false
DENTALFE,"Dental - Feline",320,50,4,320,71.4,7,320,90,20,6340.5,false
PRCR1,"Priv. Cremation w/ Scatter tube <9kg",112.5,100,20,112.5,100,24,112.5,100,55,6187.5,false
131069,"PVD Fel UR ST/OX Salmon - 156g",75.84,46.7,15,72.96,25.8,31,69.84,30.1,93,6018.33,true
HNS,"Health Exam Non-Scheduled Appointment",97,94.5,55,97,94.5,55,97,95.2,62,5984.9,false
GPCU,"Geriatric Panel + Pancreatic Lipase + UA",331.9,100,7,331.9,100,12,331.9,100,17,5642.3,false
GENAL3,"General Health (17) CBC  Lytes  SDMA",233.9,100,3,233.9,100,12,233.9,95.8,24,5602.6,false
ULTRA,"Ultrasound Abdomen FVS",518.7,100,4,494,55.6,9,494,63.6,11,5532.8,true
0929,"Senior Canine Gold Package Promo",,,0,395,100,14,395,100,14,5530,
307,"Cremation Communal 1kg-9.9kg",78,100,17,60,52.8,36,60,80.5,87,5526,true
UPCRECK,"Urgent Pet Care Recheck Visit",79,100,8,79,86.1,36,60,60.5,81,5434,true
137069,"Hills Fel c/d Stress Chicken - 8.5lbs",86.61,44.4,9,86.61,71,31,86.61,46.8,62,5426.39,false
117787,"RC Fel Urinary SO - 3.5kg",68.38,50,14,68.38,79.4,34,68.38,65.8,79,5376.53,false
HERF,"Health Exam Recheck - Feline",69,100,18,69,82.8,29,65,70,80,5296,true
140559,"Nexgard Combo 2.5 - 7.5kg Feline",38.73,32.6,43,40.2,25.4,71,40.2,23.4,94,5163.46,true
ORA3,"Radiograph Dental Full Mouth",120,47.1,17,120,42.1,19,200,57.6,33,5160,true
102221,"Bordetella Oral Vaccination",30,100,35,30,97.7,87,30,98.3,173,5154,false
AIP15,"Anesthesia - Isoflurane Per 15 Mins",276,50,4,138,60,10,138,35.3,17,4899,true
104861,"Metacam Oral 10ml",43.84,61.8,34,44.24,60.5,81,44.24,67,112,4888.86,true
GPFPL,"Geriatric Panel + Pancreatic Lipase",77.23,100,1,77.23,50,2,308.9,93.8,16,4710.73,true
120001,"PVD Fel UR ST/OX - 2.72kg",54.47,58.3,24,52.38,64,50,51.35,48.9,90,4698.14,true
104862,"Metacam Oral 32ml",82.21,72.7,11,76.66,66.7,24,76.66,55.7,61,4545.1,true
BCUF,"Blocked/unblocking - FLUT flush (per hr)",550,100,2,550,100,8,550,88.9,9,4510,false
4VW,"X-Rays 3 View",300,100,5,300,100,15,300,100,15,4500,false
119322,"Hills Fel c/d Chicken - 8.5lbs",80.36,55.6,9,80.36,81,21,80.36,63,54,4496.66,false
WBCX,"Complex Biopsy OUT",757.9,100,4,757.9,100,4,757.9,66.7,6,4455.4,false
LP15,"Lumpectomy Per 15 Mintutes",200,33.3,3,600,30,10,600,25,12,4400,true
3VW,"X-Rays  Additional",82,100,1,82,100,12,82,89.6,48,4343.5,false
FL,"Fluorescein Eye Stain(per patient)",42.1,100,19,42.1,100,46,42.1,100,103,4336.3,false
125657,"Hills Fel t/d - 4lbs",47.33,68.8,16,47.33,86.8,38,47.33,45.7,92,4332.76,false
GENAL2,"General Health (15) CBC  Lytes  SDMA",222.9,100,4,222.9,100,9,222.9,100,19,4235.1,false
0012,"Canine - Spay 20-50lb",324,100,4,324,100,8,324,100,13,4212,false
DENTCALG,"Dental - Canine > 50 lb",465,66.7,3,465,66.7,3,400,70,10,4185,true
135950,"Interceptor Plus Chew Blue (22.8-45.4KG)",28.46,47.1,17,28.46,61.3,31,40.46,31,87,4024.59,true
PLT,"Pancreatic Lipase Test",53.9,100,10,53.9,100,27,53.9,98.6,74,3948.18,false
V1,"Rabies Vaccination 1 Year  #1020508363",30,92.3,26,30,88.1,59,30,91.6,131,3817,false
0011,"Canine - Spay <20lb",346.6,83.3,6,346.6,55.6,9,291.6,41.7,12,3748.96,true
0007,"Canine - Castration <20lb",265,50,4,265,42.9,7,265,73.3,15,3736.5,false
106544,"Vetmedin 1.25mg",38.6,37.5,8,69,35,20,69,25,68,3714.2,true
V3,"Rabies Vaccination 3 Year  #1020508340",30,94.4,18,30,97.9,48,30,96,126,3705,false
GPFU,"Geriatric Panel + FPL + Urinalysis",,,0,,,0,331.9,100,11,3650.9,
121157,"Metacam Oral Feline 3ml",33.84,52.4,21,33.84,84.1,69,33.84,68.2,107,3614.36,false
MEDLG,"Take-Home Medications - Large",200,69.2,13,100,50,18,100,50,24,3600,true
139870,"Fortiflora SA Canine",41.1,36.7,30,41.1,45.9,74,41.1,53,115,3539.68,false
1VW,"X-Rays 1 View",180,44.4,9,150,40,20,150,52,25,3502,true
143563,"Senvelgo - 30ml",448.89,100,1,448.89,100,1,380.06,75,8,3477.37,true
01-09,"Pyometra Surgery per hour",,,0,,,0,985.8,50,4,3450.3,
126022,"Caninsulin - 10mL",133.24,28.6,7,66.62,27.8,18,52.68,23.5,34,3374.36,true
130986,"Hills K9 i/d Low Fat - 27.5lbs",335.76,50,2,335.76,66.7,3,335.76,50,10,3356.62,false
0109,"Enucleation (Single Eye)",,,0,838.8,100,3,838.8,100,4,3355.2,
118600,"RC Fel Urinary SO - 85g",134.4,37.5,8,129.6,36.8,19,64.8,38.1,42,3331.68,true
124395,"Cartrophen Inj",57.17,25,12,47.9,22.2,27,45.77,17.8,73,3288.78,true
130004,"Hills Fel t/d - 8.5lbs",84.81,100,1,84.81,100,9,84.81,56.4,39,3259.43,false
113573,"Hills Fel c/d Ocean Fish - 5.5oz",78,28.6,7,75.12,63.6,22,75.12,30.3,66,3254.77,true
115795,"Milbemax cats (16mg/40mg)",28.06,75,8,28.06,65,40,28.06,40.8,103,3194.12,false
140510,"RC Fel Satiety - 145g",78.72,75,4,78.72,30,10,71.04,43.2,37,3139.37,true
100,"Anesthesia Induction Fee",250,100,2,250,100,8,250,100,12,3000,false
ANALSAC,"Anal Sacculectomy (per hour)",,,0,985.8,100,3,985.8,100,3,2957.4,
107354,"Surolan Drops - 15mL",55.96,81.8,11,54.07,47.8,23,54.07,53.6,56,2939.68,true
121047,"RC K9 GI Low Fat - 385g",71.4,33.3,6,71.4,37.5,8,71.4,41.3,46,2926.52,false
HSPMED,"Hospitalization (Medical)",120,100,14,120,100,22,120,100,24,2880,false
LR15,"Laceration Repair Per 15 minutes",110,66.7,6,110,82.4,17,110,66.7,21,2845.24,false
140366,"Librela - 20mg/ml (First Vial)",103.77,75,4,103.77,75,4,82.32,72.7,33,2842.01,true
138254,"RC K9 Urinary SO - 11.5kg",142.19,100,1,136.73,91.7,12,136.73,90.5,21,2838.5,true
120508,"RC Fel GI Fibre Response - 4kg",87.54,100,2,87.54,80,5,85.63,87.9,33,2833.43,true
117503,"PVD K9 HA Vegetarian - 7.48kg",128.1,50,6,128.1,76.2,21,128.1,72.7,22,2808.39,false
FLU,"IV Fluids Set Up & Maintenance",245,100,4,245,85.7,7,245,83.3,12,2776.1,false
333C,"3 Years Dap - Combined",55,67.3,52,55,67.3,52,55,67.3,52,2775,false
NAILT,"Nail Trim (Cats/Dogs)",20.5,100,23,20.5,100,58,20.5,88.5,130,2760.28,false
119898,"Aurizon Ear Drops 20mL",101.8,100,2,101.8,100,16,101.8,55.2,29,2755.9,false
117004,"RC Fel Urinary SO - 1.5kg",35.33,66.7,18,33.98,61.5,39,33.98,58.4,77,2705.19,true
131070,"PVD Fel UR ST/OX Turkey - 156g",75.84,33.3,18,72.96,34.4,32,69.84,22,59,2696.85,true
132339,"Aventi Liver Complete Dogs & Cats -90s",154.59,100,2,154.59,100,4,133.32,63.2,19,2652.75,true
115971,"RC K9 Hypo HP - 8kg",131.55,57.1,7,126.49,72.2,18,126.49,76.2,21,2651.23,true
ANAL,"Anal Gland Expression - Technologist",35.5,100,9,35.5,92.6,27,35.5,97.3,75,2627,false
WC1,"Cytology w/ Micro Description (1 site)",262.5,100,2,262.5,100,4,262.5,100,10,2625,false
HS,"Hospitlization - Surgery",55,87.5,8,55,96,25,55,97.9,48,2618,false
139871,"Fortiflora SA Feline",50.1,28.6,21,41.1,29,69,41.1,27.4,106,2557.45,true
131065,"PVD K9 HA Vegetarian - 11.3kg",172.29,75,4,159.06,66.7,9,154.82,43.8,16,2554.97,true
109579,"Deramaxx 100mg",64.47,50,4,99.45,54.5,11,99.45,43.3,30,2516.67,true
118192,"Felimazole 2.5mg",41.4,33.3,9,41.4,33.3,24,36,25,52,2481.08,true
GENAL1,"General Health (10) CBC  Lytes  SDMA",175.9,100,3,175.9,100,9,175.9,92.3,13,2462.6,false
113566,"Hills Fel c/d Chicken - 4lbs",46.44,60,10,44.65,66.7,18,43.74,45.5,55,2443.74,true
113572,"Hills Fel c/d Chicken - 5.5oz",16.25,33.3,6,74.88,65.2,23,74.88,42.9,49,2426.95,true
FT,"Fluid Therapy - Dental",55,85.7,7,55,93.3,15,55,93.5,46,2420,false
144178,"Solensia - 7mg/ml",44.44,53.3,15,44.44,50,24,44.44,37.5,32,2419.67,false
01011,"Sedation IM 20-40 Kg",98.55,100,11,98.55,89.5,19,98.55,68,25,2383.75,false
119002,"PVD K9 EN - 380g",71.04,50,2,66.6,70,10,66.6,54.3,35,2374.29,true
125193,"Vanectyl-P",134.64,40,5,134.64,18.2,11,53.92,11.1,36,2312.43,true
112658,"Hills K9 z/d - 370g",77.04,50,6,74.16,43.8,16,74.16,51.5,33,2280.66,true
101383,"Tobradex Drops 5mL",39.34,100,17,39.34,96.9,32,39.34,65,60,2276.1,false
BM1,"Fecal  Smear IN",40.6,100,8,40.6,100,18,40.6,100,56,2273.6,false
115315,"Clavaseptin - 500mg Tabs",67.16,30,10,90.8,26.3,19,90.8,27.6,29,2267.86,true
PCSB,"Private Cremation Satin Bag",112.5,100,4,112.5,100,14,112.5,100,20,2250,false
115314,"Clavaseptin 250mg tabs",27.96,21.4,14,34.5,22.2,27,34.5,17.3,52,2248.9,true
AMPLIM,"Amputation - Limb",,,0,,,0,1118.4,100,2,2236.8,
139883,"Hills K9 Derm Complete - 14.3lbs",117.86,57.1,7,117.86,76.9,13,117.86,57.9,19,2235.65,false
128901,"Hills Fel c/d Chkn Stew - 2.9oz",5.96,100,1,71.52,66.7,3,68.64,46.5,43,2222.2,true
140367,"Librela - 30mg/ml (First Vial)",110.14,100,1,102.4,80,5,102.4,52.2,23,2210.84,true
138278,"Simparica TRIO Green 20.1-40kg",55.73,100,4,55.73,100,4,120.08,34.8,23,2205.46,true
REEX,"Recheck Exam",69,100,9,69,81,21,69,51.5,33,2203,false
140365,"Librela - 15mg/ml (First Vial)",93.64,50,2,93.64,75,4,79.91,65.4,26,2196.57,true
URINEC,"Cystotomy",364.56,50,2,364.56,50,2,607.6,75,4,2187.36,true
116018,"RC Fel Urinary SO - 8kg",129.81,100,5,129.81,100,7,129.81,75,16,2173.77,false
137233,"Hills Fel GI Biome - 4lbs",55.35,55.6,9,55.35,74.1,27,55.35,65,40,2163.62,false
116987,"Vetoryl 30mg Caps - 30s",301.86,100,1,273.76,75,4,273.76,36.4,11,2158.06,true
US,"FVS Echocardiogram",,,0,539.5,100,1,539.5,100,4,2158,
131241,"RC Fel Renal Support D - 85g",144,100,1,265.92,80,5,132.96,46.2,13,2140.44,true
112092,"Hills Fel d/d Duck - 156g",84.48,66.7,6,81.36,63.6,11,81.36,40,30,2138.1,true
137231,"K9 Hills Gi Biome 16lbs",107.14,100,5,107.14,100,13,107.14,80,20,2128.56,false
0930,"Senior Feline  Gold Package Promo",,,0,349,83.3,6,349,83.3,6,2120,
137234,"Hills Fel Gi Biome - 8.5lbs",104,55.6,9,100,68.8,16,100,66.7,21,2107.48,true
117906,"Hills K9 z/d - 25lbs",160.64,100,1,160.64,100,1,160.7,63.6,11,2081.02,true
0013,"Canine - Spay 50-80lb",443.8,100,2,443.8,50,4,388.8,60,5,2054,true
137068,"Hills Fel c/d Stress Chicken - 4lbs",48.28,54.5,11,46.42,75,24,46.42,63.6,44,2044.84,true
138685,"Pro-Otic HC 1% Hydrocortisone - 60ml",42.56,75,8,41.52,50,20,41.5,40.8,49,2032.54,true
114424,"Metacam Inj 5mg/ml",25.07,10.8,37,14.4,5.7,70,12.96,5.6,124,2026.24,true
310,"Euthanasia - IV in place/ w treatment",135,100,1,135,100,11,135,100,15,2025,false
CLIP,"Clip and Clean/Scrub",35,100,5,35,100,8,35,90.2,51,2015,false
HSSPS,"Hospital Supplies-Surgery Pack Standard",58,87.5,8,58,95.2,21,58,97.1,35,2006.8,false
120518,"RC K9 GI Low Fat - 3kg",54.55,60,5,54.55,80,10,54.55,51.5,33,2000.01,false
303,"Euthanasia Attended (New Client)",,,0,,,0,180,100,11,1980,
117821,"RC K9 Hypo HP - 11.5kg",159.81,50,4,159.81,50,4,153.66,53.8,13,1978.64,true
122352,"RC Fel GI Mod Cal - 3.5kg",155.16,50,2,149.2,33.3,6,70.8,36.4,22,1977.54,true
TAMP,"Tail Tip Amputation",492.9,100,2,492.9,100,2,492.9,100,4,1971.6,false
0110,"Foreign Body/Exploratory 1hr",,,0,985.8,100,1,985.8,100,2,1971.6,
CDCD,"Diarrhea RealPCR (Comprehensive)K9",,,0,281.5,100,3,281.5,100,7,1970.5,
GERFT4,"Idexx Geriatric Panel w Free T4",324.9,100,6,324.9,100,6,324.9,100,6,1949.4,false
133026,"Simparica 80mg (20.1-40kg) Green",41.17,66.7,6,41.17,57.1,7,81.47,20,30,1937.17,true
143991,"VANGUARD Parvovirus Vaccine",643.2,100,3,643.2,100,3,643.2,100,3,1929.6,false
119897,"Aurizon Ear Drops - 10ml",65.83,42.9,7,64.15,76.5,17,64.15,67.7,31,1909.49,true
EXT2,"Extractions - 2 Rooted tooth",98,55.6,9,98,55.6,9,98,55.6,9,1901.2,false
118034,"RC Fel Hypo HP - 3.5kg",85.04,66.7,3,85.04,80,10,85.04,50,24,1900.4,false
143775,"Hills Fel C/D Stress Tuna - 5.5 oz",78.48,57.1,7,78.48,73.7,19,78.48,74.1,27,1897.11,false
140363,"Librela - 5mg/ml (First Vial)",94.27,66.7,3,87.8,71.4,7,87.8,43.5,23,1893.79,true
THMD<20,"Take Home Medication Surgery <20lb",30,77.8,9,30,76,25,30,88.2,51,1880,false
INDUCE,"Induce Vomiting",75,100,8,75,100,13,75,95.8,24,1875,false
128082,"Prozinc Human Insulin 40IU/ML 10ML",112.58,100,1,112.58,66.7,6,112.58,40,15,1871.95,false
VACA,"Canine DA2PPv Annual",,,0,,,0,110,100,17,1870,
142319,"Clavaseptin 750mg tablets",49.17,40,5,49.17,36.8,19,49.17,26.9,26,1868.08,false
GENA3,"Geriatric Panel + Fructosamine - In hous",303.9,100,3,303.9,100,3,303.9,100,6,1823.4,false
HOSP,"Hospitalization - Single Day Admission",100.12,100,2,100.12,100,9,100.12,100,18,1802.16,false
135196,"After Surgery Wear - S",32.78,57.1,14,32.78,88.7,53,32.78,89.1,55,1793.06,false
109637,"Hills Fel z/d - 156g",11.04,40,5,42.36,33.3,12,67.85,21.9,32,1762.24,true
139333,"RC Fel Selected Protein PD - 145g",45.89,40,5,63.54,26.7,15,56.88,32.1,28,1754.53,true
HD,"Ward Fee < 4 Hours",35,100,28,35,100,50,35,100,50,1750,false
3YEARS,"Canine DA2PP Vaccination 3 Year",30,90.9,11,30,95.8,24,30,98.3,58,1728,false
122482,"PVD Fel HA - 1.81kg",54.77,55.6,9,52.66,64,25,52.66,47.1,34,1712.81,true
143009,"Cardalis Chew-2.5mg Benaz/20mg Spirono",87,62.5,8,69,58.8,17,69,70.8,24,1712.4,true
140387,"PVD Fel EN Savory Selects Chicken - 156g",88.56,25,4,88.56,37.5,8,88.56,21.4,28,1700.63,false
143789,"PVD K9 OM Wt Manage select blend 7.48kg",224.92,50,2,224.92,50,10,224.92,50,10,1691.4,false
139644,"RC Fel Renal Support Early - 85g",49.44,57.1,7,49.44,57.1,7,95.04,35,20,1682.76,true
107355,"Surolan Drops 30mL",91.12,100,2,87.72,60,5,76.91,45,20,1663.91,true
102970,"PVD Fel DM - 156g",78.48,41.7,12,6.28,26.1,23,75.36,28.9,38,1645.74,true
BARA,"Idexx Bile Acids (Single Sample) Add-on",121.9,100,13,121.9,100,13,121.9,100,13,1584.7,false
BGAK,"Blood Glucose and Ketone",83.25,100,1,83.25,100,1,83.25,100,19,1581.75,false
128903,"Hills Fel c/d Stress Chkn Stew - 2.9oz",77.04,66.7,3,74.16,42.9,7,74.16,55.6,18,1571.9,true
130955,"Veraflox Oral Suspension 15ml",58.71,57.1,7,58.71,73.3,15,58.71,69.2,26,1566.08,false
GPF,"Gingival/Periosteal Flap",80,40,5,40,57.1,7,40,52,25,1565,true
BLOOD,"General Health Panel w CPL IN CLINIC",222.9,100,2,222.9,100,2,222.9,100,7,1560.3,false
128909,"Hills K9 i/d Chkn Stew - 12.5oz",73.32,66.7,6,70.56,55.6,9,70.56,45.5,22,1548.96,true
120510,"RC Fel Gastro - 4kg",,,0,85.63,100,11,85.63,100,18,1541.34,
120519,"RC K9 GI Low Fat - 8kg",118.53,100,2,118.53,100,2,118.53,100,13,1540.89,false
0032,"Soft Tissue Surgical Fee Per 10 Minutes",330,100,2,110,62.5,8,110,63.6,11,1540,true
132100T,"Apoquel 5.4mg (per tab)",123.9,60,5,123.9,60,10,123.9,35.3,17,1538.43,false
143776,"Hills Fel C/D Stress chicken- 5.5 oz",78.48,50,4,78.48,75,16,78.48,77.3,22,1521.68,false
128.311B,"Fructosamine IN",125.9,100,3,125.9,100,6,125.9,100,12,1510.8,false
128319,"PVD Fel HA 3.6kg",99.37,70,10,99.37,70,10,99.37,43.8,16,1482.78,false
CORR,"Cortisol (Random) OUT",131.9,100,11,131.9,100,11,131.9,100,11,1450.9,false
ANALN,"Anal Glands And Nail Trim",40,100,6,40,100,15,40,100,36,1440,false
APO,"Meloxadin 1.5mg/ml",,,0,,,0,13.21,7,100,1434.4,
FELENEMA,"Enema",,,0,71.3,100,7,71.3,90.5,21,1426,
137162,"Revolution Plus - Cats 5.1-10kg (Green)",37.7,66.7,3,33.85,63.6,11,33.85,55.6,27,1414.41,true
113975,"Glargine (Lantus) Insulin - 10mL",,,0,130,100,1,111.42,66.7,12,1411.36,
CUL,"Aerobic Culture (Organism ID and Suscept",198.9,50,2,198.9,50,2,198.9,40,5,1406.9,false
HN,"Hospitalization 24 hours (overnight)",,,0,140,100,6,140,100,10,1400,
0008,"Canine - Castration 20-50lb",,,0,280,100,1,280,100,5,1400,
102011,"Senior Feline Platinum Package Promo",,,0,699,100,2,699,100,2,1398,
106546,"Vetmedin 5mg",,,0,107.4,100,4,107.4,54.5,11,1390,
102995,"PVD Fel DM - 2.72kg",62.1,83.3,6,59.71,61.5,13,59.71,65.2,23,1381.77,true
119989,"PVD K9 HA Vegetarian - 2.72kg",52.31,100,2,50.3,76.9,13,48.36,57.1,28,1381.38,true
119326,"Hills Fel k/d Chicken - 8.5lbs",86.61,66.7,3,86.61,88.9,9,86.61,75,16,1378.52,false
122472,"RC K9 Urinary SO Small Dog - 4kg",70.98,66.7,3,68.25,80,10,68.25,77.8,18,1370.46,true
HSCP,"Hospital Suplies - Peel Pack",38,100,11,38,100,23,38,100,36,1368,false
143487,"Cerenia 16mg",32.08,62.5,16,32.08,44.4,27,32.08,25,48,1365.57,false
128551,"Hills Fel c/d Ocean Fish - 4lbs",46.44,100,3,44.65,57.1,7,43.74,48.4,31,1364.71,true
00012,"Sedation IM 10-20 kg",80.19,100,2,80.19,100,3,80.19,100,17,1363.23,false
FAVN,"Rabies Serology for Export OUT",,,0,,,0,674.9,100,2,1349.8,
90910494,"Methimazole 25mg/ml Transdermal",42.06,80,10,42.06,53.3,15,42.06,29.6,27,1340.81,false
138276,"Simparica TRIO Tan 5.1-10kg",34.23,100,3,34.23,100,3,70.82,21.1,19,1335.53,true
KIDNEY,"Kidney Panel (IN)",132.9,100,1,132.9,100,4,132.9,100,10,1329,false
123537,"PVD Fel DM Savory Selects - 156g",78.48,66.7,6,78.48,40,10,75.36,48,25,1326.65,true
124647,"Clavaseptin - 62.5mg Tabs",32.72,20,10,34.2,27.3,22,34.2,25.5,47,1323.22,true
MIC,"Microchip Implant and Registration",60,100,3,60,100,6,60,100,22,1320,false
132851,"Cytopoint - 40mg",238.48,100,1,238.48,100,1,110.09,54.5,11,1318.78,true
308A,"Cremation Communal 10-29kg",90,100,2,90,66.7,3,75,88.2,17,1305,true
129414,"RC Fel Urinary SO Mod Cal - 8kg",134.9,100,4,134.9,57.1,7,129.71,40,10,1304.66,true
143855,"K9 PVD EN Savory Selects Chicken 380g",,,0,66.6,77.8,9,66.6,63.6,22,1304.25,
116986,"Vetoryl 10mg Caps - 30s",,,0,222.42,66.7,3,117.21,40,10,1301.76,
130015,"Hills K9 c/d Chicken - 27.5lbs",147.34,100,2,147.34,66.7,3,142.86,77.8,9,1294.7,true
115535,"Hills Fel t/d - 20lbs (IN-CLINIC)",,,0,135.45,75,4,126.77,60,10,1286.17,
125655,"Hills K9 t/d - 25lbs",,,0,127.69,100,1,146.59,62.5,8,1281.51,
139164,"PVD Hydra Care",40.32,25,8,40.32,36.4,11,20.16,40,35,1279.32,true
K95WAY,"Canine DA2PP Vaccination 1 Year",30,100,11,30,92.6,27,30,93,43,1274,false
128552,"Hills Fel c/d Ocean Fish - 8.5lbs",79.45,100,1,79.45,100,4,79.45,93.3,15,1271.2,false
115883,"Fortekor 5mg",,,0,,,0,295.8,50,6,1265.68,
AEPI2,"Allergy Panel Environmental/Insect Idexx",631.5,100,2,631.5,100,2,631.5,100,2,1263,false
128198,"Hills Fel k/d Tuna Pate - 5.5oz",83.04,37.5,8,83.04,36.4,11,83.04,52.4,21,1255.39,false
BGI,"Blood Glucose Interpretation",68.5,100,4,68.5,100,7,68.5,84.2,19,1250.14,false
135949,"Interceptor Plus - Yellow (11.4-22.7kg)",23.24,41.7,12,22.29,45.8,24,22.29,51.2,43,1247.9,true
139691,"Douxo Pyo Pads",53.63,85.7,7,53.63,54.5,11,41.63,36.7,30,1246.66,true
333F,"Feline FVRCP Vaccination 3year",30,75,4,30,92.9,14,30,88.6,44,1245,false
0009,"Canine - Neuter 24kg - 35kg",295,100,1,177,66.7,3,295,60,5,1239,false
127720,"PVD Fel Ess. Care Senior - 85g",4.1,50,4,4.1,33.3,6,47.52,51.6,31,1232.66,true
NSAIDIN,"NSAID + SDMA IN",122.28,100,3,122.28,100,4,122.28,100,10,1222.8,false
116822,"RC K9 Urinary SO - 385g",63.48,66.7,3,63.48,75,8,63.48,57.9,19,1222.56,false
137835,"Meloxadin Oral Susp. 10mL",,,0,,,0,31.04,94.7,38,1185.86,
01-21,"IDEXX Telemedicine consultants nonurgent",,,0,294,100,3,294,100,4,1176,
134491,"Cefaseptin Chewable 750mg",62.4,28.6,7,62.4,30,10,62.4,35,20,1164.64,false
ANAL1,"Anal Gland Expression with Exam",22,100,5,22,100,17,22,100,52,1144,false
GERPW,"Geriatric Panel OUT",,,0,,,0,285.9,100,4,1143.6,
122219,"Metacam Oral Feline 15ml",46.03,50,2,46.03,50,2,81.04,35.7,14,1141.9,true
IV,"IV Catheter Placement",49,100,7,49,100,18,49,100,23,1127,false
115275,"Hills Fel t/d - 20lbs",,,0,160.71,100,2,160.71,57.1,7,1116.93,
137230,"Hills K9 GI Biome - 8lbs",65.19,66.7,3,65.19,92.3,13,65.19,88.2,17,1107.25,false
