treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
104863,"Metacam Oral 100ml",,,0,162.99,100,1,162.99,50,2,180.16,
HOSPUPCS,"UPC Hospitalization Surgical Evening",45,100,3,45,100,4,45,100,4,180,false
140558,"NEXGARD Combo S Kitten <2.5kg",39.18,60,5,39.18,60,5,39.18,60,5,177.82,false
142542,"RC K9 Hypo HP Puppy - 4kg",,,0,,,0,58.46,100,3,175.38,
138274,"Simparica TRIO Yellow 1.3-2.5kg",,,0,,,0,174.5,100,1,174.5,
132848,"Cytopoint - 10mg",,,0,,,0,58.09,100,3,174.27,
125436,"Doxycycline 100mg Tabs TEVA",26.42,25,4,26.42,20,5,26.42,16.7,6,173.16,false
130006,"Hills K9 Metab + Mobility - 24lbs",,,0,,,0,172.72,100,1,172.72,
IC,"Intensive Care/12h",,,0,57.5,100,3,57.5,100,3,172.5,
CROW,"Crown Amputation",,,0,,,0,34.5,75,4,172.5,
122544,"RC K9 Adult - 385g",,,0,60.98,100,1,55.44,66.7,3,171.86,
CHEM10,"Chem 10  Lytes  SDMA",171.7,100,1,171.7,100,1,171.7,100,1,171.7,false
126062,"Otomax Ointment - 30g",85.73,100,2,85.73,100,2,85.73,100,2,171.46,false
113353,"Hills K9 t/d SB - 15lbs",,,0,,,0,84.87,100,2,169.74,
144237,"Voluven 250 mg",,,0,84.8,100,2,84.8,100,2,169.6,
123511,"Fucidin 2% Ointment 30g",,,0,,,0,56.4,100,3,169.2,
CHMSCW,"IDEXX Chemistry Screen",,,0,,,0,168.5,100,1,168.5,
137879,"Gabapentin 600 mg tab",,,0,,,0,13.2,30,10,168.01,
139386,"Reconcile (Fluoxetine) 64mg",162.31,100,1,162.31,100,1,162.31,100,1,162.31,false
BMS,"Bandage Material - Small",18,100,2,18,100,4,18,100,9,162,false
125663,"Hills K9/Fel a/d - 156g",14.07,33.3,3,9.38,40,5,9.38,50,12,160.72,true
132334,"Baytril 50mg Tablet",22.96,50,2,22.96,60,5,22.96,50,6,160.72,false
124186,"Hills Fel Metabolic - 17.6lbs",160.71,100,1,160.71,100,1,160.71,100,1,160.71,false
MISC,"Miscellaneous Laboratory tests",,,0,21,40,5,21,40,5,160.58,
100037,"Prednisone 50mg (APO)",15.7,50,2,13.36,22.2,9,15.4,30,10,160.3,true
133845,"Oxbow Western Timothy Hay - 50lb",,,0,,,0,80.09,100,2,160.18,
IHAO,"In Heat - Add On",80,100,2,80,100,2,80,100,2,160,false
139374,"Omeprazole 10mg TEVA",31,75,4,31,75,4,31,50,6,158.95,false
132335,"Baytril 150mg Tablet",75.82,100,1,75.82,50,2,75.82,50,2,158.82,false
137174,"Hills K9 Metab + Mobility - 8.5lbs",,,0,,,0,79,100,2,158,
135931,"Aventi GI Powder - 120g",,,0,52.43,100,3,52.43,100,3,157.29,
143790,"K9 PVD OM (WEIGHT MANAGE) Select 11.3kg",157.25,100,1,157.25,100,1,157.25,100,1,157.25,false
BUSP,"Buspirone HCL 10mg/ml (Summit)",,,0,,,0,78.3,100,2,156.6,
99015787,"Methocarbamol 500 mg",,,0,47.3,50,2,29.92,25,4,156.33,
USG,"USG (Urine Specific Gravity)",39,100,4,39,100,4,39,100,4,156,false
130970,"Trazodone - 100mg",,,0,22.8,100,2,22.8,20,10,153.71,
4DXADD,"Idexx 4Dx Plus screen Canine OUT-add on",76.5,100,2,76.5,100,2,76.5,100,2,153,false
129824,"Canaural Ear Drops 15ml",,,0,50.73,100,2,50.73,100,3,152.19,
FLU1,"Fluids  Additional  Bag",30.4,100,3,30.4,75,4,30.4,75,4,152,false
115342,"Cerenia 160mg",,,0,26.7,100,1,24.59,66.7,6,151.76,
121356A,"Zentonil Advanced 100 mg chews (30 tbs)",,,0,,,0,75.81,100,2,151.62,
128354,"Insulin Syr Ideal U-40 0.5mL/29g/1/2""",,,0,,,0,38.86,75,4,151.55,
135201,"After Surgery Wear - XXL",36.99,100,1,36.99,100,1,37.82,75,4,150.45,true
BIO,"Biopsy - Skin/Tissue",,,0,,,0,150.2,100,1,150.2,
131713,"Hills Fel k/d Ocean Fish - 4lbs",,,0,50.01,100,2,50.01,100,3,150.03,
ORAL,"Oral Exam (Not including Sedation)",75,100,2,75,100,2,75,100,2,150,false
JOINTTAP,"Joint Tap (plus pack) per 10 min.",,,0,,,0,150,100,1,150,
ANEXA,"Brief Exam",,,0,,,0,50,100,3,150,
VACCLI,"Feline FVRCP Vaccination 2nd",,,0,,,0,30,100,5,150,
