treatment_code,description,list_price,confidence,tier,last_changed,months_held,charges_since_change,share_at_list_pct,alt1_price,alt1_count,alt2_price,alt2_count,uses_365d,revenue_365d
131070,"PVD Fel UR ST/OX Turkey - 156g",75.84,56,MEDIUM,2026-02-01,2,6,66.7,37.92,2,,0,42,2242.56
101383,"Tobradex Drops 5ml",39.34,97,HIGH,2025-08-01,8,44,95.5,33.44,2,,0,57,2187.46
118600,"RC Fel Urinary SO - 85g",67.2,69,MEDIUM,2026-02-01,2,2,100,,0,,0,36,2185.99
FVR2,"Feline FVRCP 2nd Vaccination",30,99,HIGH,2025-08-01,8,73,98.6,18,1,,0,73,2178
FT,"Fluid Therapy - Dental",55,100,HIGH,2025-01-01,13,59,100,,0,,0,38,2090
115795,"Milbemax cats (16mg/40mg)",49.62,63,MEDIUM,2026-01-01,1,1,100,,0,,0,58,2082.97
HS,"Hospitlization - Surgery",55,72,MEDIUM,2026-02-01,2,4,100,,0,,0,38,2068
113572,"Hills Fel c/d Chicken - 156g",16.25,63,MEDIUM,2026-03-01,1,1,100,,0,,0,36,2061.53
112658,"Hills K9 z/d - 370g",77.04,65,MEDIUM,2026-02-01,1,2,100,,0,,0,34,2046.72
107355,"Surolan Drops 30ml",91.12,63,MEDIUM,2026-02-01,1,1,100,,0,,0,24,2045.5
143775,"Hills Fel C/D Stress Tuna - 5.5 oz",81.6,63,MEDIUM,2026-03-01,1,1,100,,0,,0,29,2042.45
402A,"Dental Extraction Surgical Major",76.8,63,MEDIUM,2026-03-01,1,1,100,,0,,0,7,2036.8
BM1,"Fecal  Smear",40.6,100,HIGH,2022-08-01,34,164,100,,0,,0,50,2030
137233,"Hills Fel GI Biome - 4lbs",57.56,67,MEDIUM,2026-02-01,1,3,100,,0,,0,38,2029.65
139871,"Fortiflora PRO Fel Sachet",88.2,63,MEDIUM,2026-03-01,1,1,100,,0,,0,73,1999.47
118034,"MCRC Fel Hypo Hp - 3.5 kg",88.44,49,LOW,2026-02-01,1,3,66.7,66.33,1,,0,25,1987.22
119897,"Aurizon Ear Drops 10 ml",65.83,48,LOW,2026-02-01,1,5,60,64.15,1,39.5,1,32,1982.36
303,"Euthanasia Attended (New Client)",180,100,HIGH,2021-01-01,24,69,100,,0,,0,11,1980
DENTALB,"Dental Block/Quadrant",75.12,38,LOW,2026-03-01,1,2,50,62.6,1,,0,21,1962.51
LP15,"Lumpectomy Per 15 Mintutes",600,63,MEDIUM,2025-12-01,1,1,100,,0,,0,7,1950
1VW,"X-Rays 1 View",180,49,LOW,2026-01-01,1,3,66.7,57,1,,0,14,1917
140366,"Librela - 20mg/ml (First Vial)",96.53,82,HIGH,2025-08-01,4,7,100,,0,,0,22,1914.77
137068,"Hills Fel c/d Stress Chicken - 4lbs",48.28,72,MEDIUM,2026-02-01,2,4,100,,0,,0,41,1902.74
131065,"PVD K9 HA Vegetarian - 11.3kg",172.29,63,MEDIUM,2026-03-01,1,1,100,,0,,0,12,1883.79
113566,"Hills Fel c/d Chicken - 4lbs",46.44,69,MEDIUM,2026-02-01,1,4,100,,0,,0,42,1868.81
REEX,"Recheck Exam",69,87,HIGH,2025-11-01,5,11,100,,0,,0,28,1854
115315,"Clavaseptin 500mg tablets",54.8,38,LOW,2026-03-01,1,2,50,71.92,1,,0,26,1833.42
VACC,"Puppy 1 - Da2ppv",30,99,HIGH,2023-08-01,32,188,97.3,18,5,,0,61,1830
0930,"Senior Feline  Gold Package Promo",349,48,LOW,2025-11-01,1,5,60,375,2,,0,5,1797
140510,"RC Fel Satiety - 145g",78.72,67,MEDIUM,2026-02-01,1,3,100,,0,,0,21,1790.4
125193,"Vanectyl-P",49.91,38,LOW,2026-02-01,1,2,50,30.06,1,,0,32,1780.67
333C,"3 Years Dap - Combined",55,70,MEDIUM,2019-02-01,2,37,73,50,10,,0,33,1765
115314,"Clavaseptin 250mg tabs",46.72,38,LOW,2026-03-01,1,2,50,26.88,1,,0,39,1763.21
128901,"Hills Fel c/d Chkn Stew - 2.9oz",2.98,49,LOW,2025-11-01,1,3,66.7,71.52,1,,0,35,1759.44
135196,"After Surgery Wear - S",31.14,70,MEDIUM,2026-02-01,1,5,100,,0,,0,53,1729.14
AMBL,"Femoral Head Ostectomy",860,70,MEDIUM,2024-06-01,2,3,100,,0,,0,2,1720
HSSPS,"Hospital Supplies-Surgery Pack Standard",58,94,HIGH,2025-02-01,13,39,92.3,29,2,34.8,1,31,1716.8
144178,"Solensia - 7mg/ml",57.86,38,LOW,2026-03-01,1,2,50,44.44,1,,0,25,1701.06
114424,"Pain Medication Inj. (Metacam 5mg/mL)",40.75,38,LOW,2026-02-01,1,2,50,2.75,1,,0,92,1695.93
CLIP,"Clip and Clean/Scrub",35,98,HIGH,2023-08-01,30,261,96.9,70,3,55,2,47,1688.5
VACC5A,"Puppy 3 - Da2ppv",30,98,HIGH,2023-08-01,31,267,96.6,18,9,,0,55,1638
402,"Dental Extraction Surgical minor",58.8,63,MEDIUM,2026-03-01,1,1,100,,0,,0,15,1621.9
ENTRO,"Entropion Sx - Lower - 1 Eye",211.02,63,MEDIUM,2025-12-01,1,1,100,,0,,0,3,1617.82
138685,"Pro-Otic HC 1% Hydrocortisone - 60ml",42.56,70,MEDIUM,2026-02-01,2,3,100,,0,,0,39,1603.03
119898,"Aurizon Ear Drops 20 ml",101.8,79,HIGH,2025-10-01,3,8,100,,0,,0,17,1596.96
117505,"PVD Fel Urin UR ST/OX 7.26kg",118.24,63,MEDIUM,2026-01-01,1,1,100,,0,,0,14,1585.01
142319,"Clavaseptin 750mg tablets",59.6,63,MEDIUM,2026-03-01,1,1,100,,0,,0,24,1565.49
119002,"PVD K9 EN - 380g",71.04,65,MEDIUM,2026-03-01,1,2,100,,0,,0,28,1562.88
BLOOD,"Bloodwork - General Pannel",222.9,80,HIGH,2024-04-01,3,9,100,,0,,0,7,1560.3
FVR1,"Feline FVRCP 1st Vaccination",30,83,HIGH,2026-01-01,3,15,100,,0,,0,54,1548
1010,"Leuk Feline Kitten",30,100,HIGH,2022-04-01,40,163,100,,0,,0,51,1530
139333,"RC Fel Selected Protein PD - 145g",61.92,63,MEDIUM,2026-02-01,1,1,100,,0,,0,24,1511.07
118192,"Felimazole 2.5mg",43.8,63,MEDIUM,2026-03-01,1,1,100,,0,,0,38,1506.8
ULTRA 4,"Ward Fee",30,98,HIGH,2025-02-01,11,61,96.7,15,2,,0,51,1500
140365,"Librela - 15mg/ml (First Vial)",93.64,82,HIGH,2025-08-01,4,7,100,,0,,0,17,1456.65
NAILT,"Nail Trim",20.5,96,HIGH,2024-11-01,11,83,92.8,41,3,17.42,3,68,1446.26
109637,"Hills Fel z/d - 156g",11.04,63,MEDIUM,2026-02-01,1,1,100,,0,,0,23,1435.22
137230,"Hills K9 GI Biome - 8lbs",67.8,63,MEDIUM,2026-02-01,1,1,100,,0,,0,22,1433.2
112092,"Hills Fel d/d Duck - 156g",84.48,65,MEDIUM,2026-03-01,1,2,100,,0,,0,18,1418.06
VACC123,"Kennel Cough Vaccine Inj. Adult",30,99,HIGH,2023-08-01,27,129,98.4,18,1,38,1,47,1418
GENAL1,"General health (17) CBC Lytes Amyl",175.9,74,MEDIUM,2025-09-01,4,7,85.7,351.8,1,,0,7,1407.2
128903,"Hills Fel c/d Stress Chicken 82g",77.04,63,MEDIUM,2026-02-01,1,1,100,,0,,0,17,1400.88
HD,"Ward Fee < 4 Hours",35,90,HIGH,2019-02-01,10,134,82.1,30.16,17,25,2,40,1400
140387,"PVD Fel EN Savory Selects Chicken - 156g",88.56,63,MEDIUM,2026-01-01,1,1,100,,0,,0,26,1398.51
143009,"Cardalis Chew-2.5mg Benaz/20mg Spirono",87,67,MEDIUM,2026-03-01,1,3,100,,0,,0,19,1382.7
126022,"Caninsulin 10ml",78.62,65,MEDIUM,2026-01-01,1,2,100,,0,,0,21,1378.66
ANESLOC,"Anesthetic - Local",80,95,HIGH,2025-02-01,9,21,100,,0,,0,17,1360
143776,"Hills Fel C/D Stress chicken- 5.5 oz",81.6,49,LOW,2026-01-01,1,3,66.7,78.48,1,,0,23,1357.38
130986,"Hills K9 i/d Low Fat - 27.5lbs",335.76,69,MEDIUM,2025-09-01,2,2,100,,0,,0,4,1339.44
90901341,"Prednisolone 10mg/ml Summit",69,63,MEDIUM,2026-03-01,1,1,100,,0,,0,26,1338.63
128909,"Hills K9 i/d Ckn Stew - 12.5oz",73.32,70,MEDIUM,2026-02-01,2,3,100,,0,,0,19,1338.12
102995,"PVD Fel DM - 2.72kg",62.1,70,MEDIUM,2026-02-01,2,3,100,,0,,0,22,1320.84
122472,"RC K9 Urinary SO SB - 4kg",70.98,63,MEDIUM,2026-03-01,1,1,100,,0,,0,19,1299.48
137835,"Meloxadin Oral Susp. 10mL",34.21,65,MEDIUM,2025-08-01,1,2,100,,0,,0,41,1275.88
124647,"Clavaseptin 62.5 mg tablets",35.4,63,MEDIUM,2026-03-01,1,1,100,,0,,0,43,1274.36
139164,"PVD Hydra Care",74.88,63,MEDIUM,2026-02-01,1,1,100,,0,,0,32,1262.76
IV,"IV Catheter Placement",49,93,HIGH,2019-02-01,55,325,87.7,45,14,35,10,26,1254.4
100,"Anesthesia (IInduction+Isof 30min)",250,76,HIGH,2025-11-01,3,5,100,,0,,0,5,1250
FELENEMA,"Enema",71.3,96,HIGH,2023-09-01,16,36,97.2,35.65,1,,0,18,1247.75
117821,"RC K9 Hypo HP - 11.5kg",159.81,63,MEDIUM,2026-03-01,1,1,100,,0,,0,8,1227.62
FLU,"IV Fluids Setup(Iv Cath+ Iv Line+Ext+",245,56,MEDIUM,2025-11-01,2,6,66.7,122.5,2,,0,6,1225
130955,"Veraflox Oral Suspension 15ml",65.24,63,MEDIUM,2026-03-01,1,1,100,,0,,0,21,1219.29
138219,"Entero Aid + GI - 30ml",31.36,63,MEDIUM,2026-03-01,1,1,100,,0,,0,27,1214.62
BCUF,"Blocked/unblocking - FLUT flush (per hr)",550,65,MEDIUM,2025-12-01,1,2,100,,0,,0,3,1210
00012,"Sedation IM 10-20 kg",80.19,100,HIGH,2024-01-01,20,48,100,,0,,0,15,1202.85
INDUCE,"Induce Vomiting",75,93,HIGH,2025-05-01,8,16,100,,0,,0,16,1200
ANALN,"Anal Glands And Nail Trim",40,92,HIGH,2019-02-01,82,769,85.4,43,74,39,20,30,1200
4VW,"X-Rays 3 View",300,72,MEDIUM,2025-11-01,2,4,100,,0,,0,4,1200
143731,"Fluoxetine 20mg caps",31.5,67,MEDIUM,2025-12-01,1,3,100,,0,,0,28,1190.56
HSCP,"Hospital Suplies - Cold Pack",38,98,HIGH,2025-03-01,10,35,100,,0,,0,31,1178
122482,"PVD Fel HA - 1.81kg",54.77,63,MEDIUM,2026-03-01,1,1,100,,0,,0,23,1156.43
134491,"Cefaseptin Chewable 750mg",39.86,63,MEDIUM,2026-03-01,1,1,100,,0,,0,20,1145.72
90910494,"Methimazole 25mg/ml Transdermal",42.06,70,MEDIUM,2026-02-01,1,5,100,,0,,0,22,1144.29
120518,"MCRC K9 GI Low Fat 3 kg",56.73,63,MEDIUM,2026-02-01,1,1,100,,0,,0,21,1136.29
122219,"Metacam Oral Feline 15ml",46.03,65,MEDIUM,2026-01-01,1,2,100,,0,,0,14,1128.3
119326,"Hills Fel k/d Chicken - 8.5lbs",86.61,87,HIGH,2025-08-01,6,12,91.7,83.04,1,,0,13,1118.79
122352,"RC Fel GI Mod Cal - 3.5kg",77.58,63,MEDIUM,2026-02-01,1,1,100,,0,,0,15,1106.78
ISOPERH,"Anesthesia - Isoflurane/Hr",552,65,MEDIUM,2025-12-01,1,2,100,,0,,0,2,1104
113594,"PVD Fel EN - 2.72kg",52.01,49,LOW,2026-01-01,1,3,66.7,65.01,1,,0,18,1103.81
ORA3,"Dental x-ray full mouth",50,63,MEDIUM,2026-01-01,1,1,100,,0,,0,7,1100
102970,"PVD Fel DM 156g",78.48,70,MEDIUM,2026-02-01,2,3,100,,0,,0,19,1091.57
119989,"PVD K9 HA Vegetarian - 2.72kg",52.31,63,MEDIUM,2026-03-01,1,1,100,,0,,0,22,1085.33
137162,"Revolution Plus - Cats 5.1-10kg (Green)",37.7,49,LOW,2026-01-01,1,3,66.7,68.9,1,,0,25,1083.5
144620,"Gabapentin 400mg (AURO)",34,65,MEDIUM,2025-12-01,3,5,80,38.4,1,,0,39,1083.28
308A,"Cremation Communal 10-45kg(22.1-100lbs)",90,63,MEDIUM,2026-03-01,1,1,100,,0,,0,14,1080
MIC,"Microchip Implant and Registration",60,95,HIGH,2025-03-01,7,21,100,,0,,0,18,1080
US,"Echocardiogram -Fvs Imaging",539.5,75,HIGH,2024-09-01,3,4,100,,0,,0,2,1079
THMS5-8,"Take Home Medication Surgery 50-80lb",47.5,89,HIGH,2025-01-01,9,29,86.2,100,2,142.5,1,19,1078.75
133026,"Simparica 80mg (20.1-40kg) Green",41.17,65,MEDIUM,2026-03-01,1,2,100,,0,,0,20,1076.41
0613,"Metacam 0.5mg/mL",55.82,63,MEDIUM,2026-02-01,1,1,100,,0,,0,49,1053.94
99011495,"Fluoxetine 5mg Tablets -  Summit",70.8,55,MEDIUM,2026-02-01,1,4,75,41.4,1,,0,22,1045.95
128082,"Prozinc Human Insulin 40IU/ML 10ML",112.58,63,MEDIUM,2025-12-01,1,1,100,,0,,0,7,1013.24
GPFPL,"Geriatric Panel + Pancreatic Lipase",77.23,63,MEDIUM,2026-01-01,1,1,100,,0,,0,4,1003.93
143487,"Cerenia 16mg",32.08,62,MEDIUM,2025-12-01,2,11,72.7,22.04,1,52.16,1,35,999.68
139691,"Douxo Pyo Pads",53.63,65,MEDIUM,2026-03-01,1,2,100,,0,,0,24,999.44
BGAK,"Blood Glucose and Ketone",83.25,93,HIGH,2025-02-01,7,16,100,,0,,0,12,999
ULTRA,"Ultrasound Abdomen",494,80,HIGH,2024-02-01,4,5,100,,0,,0,2,988
140517,"RC Fel Adult - 145g",74.4,63,MEDIUM,2026-02-01,1,1,100,,0,,0,14,982.69
127720,"PVD Fel Ess. Care Senior - 85g",51.36,65,MEDIUM,2026-02-01,1,2,100,,0,,0,24,972.15
115341,"Cerenia 60mg",40.92,38,LOW,2026-03-01,1,2,50,31.28,1,,0,20,971.6
125670,"Hills K9 z/d 3.6kg",66.95,67,MEDIUM,2025-12-01,1,3,100,,0,,0,14,966.89
128551,"Hills Fel c/d Ocean Fish - 4lbs",46.44,63,MEDIUM,2026-03-01,1,1,100,,0,,0,22,966.53
BGI,"Blood Glucose Interpretation",68.5,77,HIGH,2025-08-01,4,9,88.9,51.38,1,,0,15,959.02
144313,"Entero Aid + GI - 60ml",64.5,86,HIGH,2025-08-01,4,14,100,,0,,0,15,957
128552,"Hills Fel c/d Ocean Fish - 8.5lbs",79.45,89,HIGH,2025-02-01,8,21,90.5,76.78,2,,0,12,953.4
140367,"Librela - 30mg/ml (First Vial)",102.4,72,MEDIUM,2025-09-01,2,4,100,,0,,0,10,932.74
0011,"Canine Spay < 15  kg",346.6,63,MEDIUM,2026-01-01,1,1,100,,0,,0,3,929.8
123546,"MCRC Fel Adult - 4.5 kg",92.81,88,HIGH,2025-01-01,5,12,100,,0,,0,10,928.1
02247074,"Cyclosporine 50 mg  SUMMIT",457.8,65,MEDIUM,2025-11-01,1,2,100,,0,,0,2,915.6
118191,"Felimazole 5mg",55.8,69,MEDIUM,2026-02-01,2,2,100,,0,,0,16,913.1
PAW3,"Peartree Pawprint - Custom/Fur Match",684,63,MEDIUM,2025-10-01,1,1,100,,0,,0,2,912
116018,"MCRC Fel Urinary SO - 8kg",129.81,82,HIGH,2025-08-01,4,7,100,,0,,0,7,908.67
143855,"K9 PVD EN Savory Selects Chicken 380g",66.6,84,HIGH,2025-09-01,4,11,100,,0,,0,14,899.1
117503,"PVD K9 HA Vegetarian 7.48kg",128.1,75,HIGH,2025-10-01,2,7,100,,0,,0,7,896.7
119996,"PVD Fel DM 4.5 kg",87.5,61,MEDIUM,2025-10-01,3,9,66.7,70,3,,0,11,892.5
122618,"Revolution Puppy/Kitten  (Mauve)",34.41,63,MEDIUM,2026-03-01,1,1,100,,0,,0,14,888.93
CLIPCL,"Clip & Clean Abscess/Wound per 10 mins",44.95,63,MEDIUM,2025-12-01,1,1,100,,0,,0,11,888.09
132261,"RC K9 Hypo Treat - 500g",34.92,38,LOW,2026-02-01,1,2,50,69.84,1,,0,19,884.7
VACCFELC,"Adult Feline Leukemia",30,100,HIGH,2022-05-01,40,175,100,,0,,0,29,870
116822,"MCRC K9 Urinary SO 385g",66,63,MEDIUM,2026-02-01,1,1,100,,0,,0,13,863.22
140509,"RC Fel Gastro - 145g",3.45,41,LOW,2025-11-01,1,4,50,82.8,2,,0,18,862.2
120510,"RC Fel Gastro - 4kg",85.63,94,HIGH,2025-01-01,8,19,100,,0,,0,10,856.3
0013,"Canine  Spay   25-35 kg",233.28,63,MEDIUM,2025-12-01,1,1,100,,0,,0,3,855.36
125669,"Hills Fel k/d Chicken - 4lbs",52.01,70,MEDIUM,2026-01-01,2,3,100,,0,,0,17,852.57
142468,"Cephalex 500mg tabs",23.48,49,LOW,2025-11-01,1,3,66.7,20.66,1,,0,24,850.3
139867,"Hills C/D Stress Fel Ocean Fish 8.5lb",84.81,84,HIGH,2025-07-01,4,10,100,,0,,0,10,848.1
TLI,"Tripsine(TLI)  Cobal( B12) and Folate K9",421.5,65,MEDIUM,2025-10-01,1,2,100,,0,,0,2,843
GPF,"Gingival/Periosteal Flap",80,38,LOW,2026-01-01,1,2,50,40,1,,0,18,840
FL2,"Feline Leukemia Vaccination 2nd",30,98,HIGH,2025-01-01,13,35,100,,0,,0,28,840
0109,"Enucleation (Single Eye)",838.8,63,MEDIUM,2025-12-01,1,1,100,,0,,0,1,838.8
132100T,"APOQUEL 5.4mg per Tablet",123.9,63,MEDIUM,2025-12-01,1,1,100,,0,,0,12,808.54
140224,"Mirataz 2% 5 gr",70.92,67,MEDIUM,2026-02-01,1,3,100,,0,,0,12,801.84
116986,"Vetoryl 10mg capsules per box",117.21,54,MEDIUM,2025-08-01,3,5,60,222.42,2,,0,5,796.47
MET,"Metacam Orally/Ml (clinic )",82.4,38,LOW,2026-01-01,1,2,50,75.36,1,,0,18,789.22
WC1,"Cytology w/ Micro Description (1 site)",262.5,67,MEDIUM,2025-11-01,1,3,100,,0,,0,3,787.5
137234,"Hills Fel Gi Biome - 8.5lbs",100,77,HIGH,2025-09-01,3,6,100,,0,,0,8,787.48
