treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
200,"Board Overnight",26,2019-02-03,2618,1,,,37,LOW,33.3,12,false,,0,0,0
126061,"Otomax 15 g ointment",33.46,2019-03-05,2588,4,32.8,2019-02-03,79,HIGH,90.9,11,false,,0,0,0
114161,"Novo-Prednisone 50mg tablet [Teva]",19.52,2019-02-03,2618,1,,,36,LOW,40,5,false,,0,0,0
CSA324,"Liver chemistry Antech",97,2019-02-03,2618,1,,,70,MEDIUM,79.5,73,false,,0,0,0
113030,"Atopica 25mg capsules-15's BOX",56.78,2020-11-13,1969,3,28.39,2019-07-15,76,HIGH,100,4,false,,0,0,0
ATES,"Atenolol 6.25 mg ( Summit)",51,2019-02-03,2618,1,,,46,LOW,42.9,28,false,,0,0,0
126758,"Robaxin 500mg",24.3,2020-08-06,2068,3,46.44,2020-07-23,44,LOW,40,5,true,4.5,2,0,0
CSY,"Culture & Sensitivity - Idexx",120,2019-07-06,2465,12,132,2019-06-15,96,HIGH,100,26,false,,0,0,0
107356,"Surolan drops 15 mls filled in Clinic",30,2019-02-03,2618,1,,,73,MEDIUM,87,46,false,,0,0,0
AVENTIX,"Ear  Cleanser Avena 100 Ml",10.4,2019-02-03,2618,1,,,41,LOW,41.7,12,false,,0,0,0
MEDI 72,"MCRC K9 RC Sensitivity Vr 385 g",42.96,2019-02-03,2618,1,,,38,LOW,36.4,11,false,,0,0,0
MEDI 73,"MCRC K9 Sensitivity RC 3 kg",39.2,2019-02-03,2618,3,,,67,MEDIUM,73.3,15,false,,0,0,0
ADV5,"Advantage Multi 18 Purple (cats 4-8.2kg)",30.2,2019-02-03,2618,1,,,37,LOW,19.7,76,false,,0,0,0
333F1,"3 Years Feline Hcp - Combined",55,2019-02-03,2618,1,,,69,MEDIUM,92.3,13,false,,0,0,0
EMEX5,"Examination - Walk In",95,2019-02-03,2618,3,,,67,MEDIUM,61.5,52,true,20,1,0,0
FAST,"Focused Exam/Limited - Organ Ultrasound",150,2019-02-03,2618,2,,,56,MEDIUM,53.1,32,true,120,1,0,0
010634,"Optimmune Ophth Oint 3.5gm Sch",71.04,2019-02-03,2618,1,,,44,LOW,40,25,false,,0,0,0
FEL27,"Feline Hills w/d 17.6 lbs",85.07,2019-02-03,2618,1,,,47,LOW,40.5,42,false,,0,0,0
MEDI 91,"MCRC Feline GI Mod Cal 3.5 kg",48.59,2019-02-03,2618,1,,,35,LOW,17.2,64,false,,0,0,0
TRA2,"Tramadol HCL 100 mg tablets (summit)",32.16,2019-02-03,2618,1,,,40,LOW,26.1,199,true,213.6,1,0,0
FEL17,"Feline Hills k/d 1.8kg",29.99,2019-02-03,2618,1,,,50,MEDIUM,57.1,14,false,,0,0,0
E-COL 3,"E-Collar # 15",8,2019-02-03,2618,1,,,55,MEDIUM,53.7,67,false,,0,0,0
125019,"Drontal Cat tablets",19.9,2019-02-03,2618,1,,,40,LOW,33.3,24,false,,0,0,0
CSA120,"TotalBFunction (Superchem/CBC/T4) Antech",196.2,2019-02-03,2618,1,,,67,MEDIUM,81.5,27,false,,0,0,0
CSA705,"Senior Well (Superchem/CBC/T4/UA) Antech",244,2019-02-03,2618,1,,,56,MEDIUM,66.7,15,false,,0,0,0
125068,"Sentinel Yellow (12-22kg)",20.18,2019-02-03,2618,1,,,34,LOW,22.7,22,false,,0,0,0
NED,"Needles (20 neddles)",5,2019-02-03,2618,1,,,48,LOW,66.7,3,false,,0,0,0
116878,"Apo-Enalapril 20 mg",43.95,2019-02-03,2618,1,,,41,LOW,41.7,12,false,,0,0,0
100033,"Apo Furosemide 40mg tablet",13.44,2021-05-14,1787,4,15.6,2021-04-15,36,LOW,20,5,false,,0,0,0
105015,"Apo- Amoxi Clav 500/125 mg tablet",38.88,2019-02-03,2618,1,,,42,LOW,32.5,40,false,,0,0,0
113015,"Clinacin 150mg tablets",141.15,2019-02-03,2618,1,,,39,LOW,42.9,7,false,,0,0,0
FEL48,"Feline Hills w/d Can 5.5oz",52.32,2019-02-03,2618,1,,,35,LOW,16.5,97,false,,0,0,0
115952,"Novifit M 200 mg  30' box",50.44,2019-02-03,2618,1,,,39,LOW,42.9,7,false,,0,0,0
100490,"Hycodan 5 mg Tabs",45.45,2019-02-03,2618,2,,,39,LOW,17.5,183,true,49.35,1,0,0
CSA030,"Vetscreen/CBC Antech",137.74,2019-02-03,2618,1,,,56,MEDIUM,55.4,101,false,,0,0,0
CM030,"Aerobic culture and sensitivity Antech",106.6,2019-02-03,2618,1,,,70,MEDIUM,100,6,false,,0,0,0
CM020,"Aerobic culture and sensitivity Antech",109.9,2019-02-03,2618,1,,,56,MEDIUM,70,10,false,,0,0,0
CT330,"CBC Antech",82.6,2019-02-03,2618,1,,,66,MEDIUM,81,21,false,,0,0,0
BENAZ,"Benazepril HCL 5 mg/ml (Summit@60 ml)",133.38,2019-04-12,2550,4,62,2019-03-21,82,HIGH,100,7,false,,0,0,0
US8,"U/S  Fine Needle Biopsy",155,2019-02-03,2618,2,,,64,MEDIUM,69.2,26,true,402,1,0,0
PE2,"Pediatric(<5 Months) Dog Neuter 15 -25 K",249,2019-02-03,2618,3,,,60,MEDIUM,57.1,21,true,149.4,1,0,0
CSA036,"Vetscreen/CBC/UA Antech",186.68,2019-02-03,2618,1,,,52,MEDIUM,57.9,19,false,,0,0,0
115061,"Convenia injection",40.63,2019-02-03,2618,1,,,30,LOW,7.3,96,false,,0,0,0
THERJ,"THERABITES FELINE HIP-JOINT CHEWS 60's",17.48,2019-02-03,2618,2,,,52,MEDIUM,53.8,13,false,,0,0,0
ALLERGRA,"Allergroom Shampoo  16 oz",23.92,2019-02-03,2618,1,,,65,MEDIUM,100,2,false,,0,0,0
LEU,"Leukeran 2mg tablets. (per box)",65.26,2019-02-03,2618,1,,,45,LOW,40.7,27,false,,0,0,0
1009AB,"FVRCP + Chlamidia combined",35,2019-02-03,2618,1,,,80,HIGH,100,42,false,,0,0,0
CSA025,"Vetscreen Antech",106.6,2019-02-03,2618,1,,,51,MEDIUM,56.3,16,false,,0,0,0
111507,"TRIZEDTA  aquaeous 4 OZ",21,2019-02-03,2618,1,,,47,LOW,57.1,7,false,,0,0,0
CS16345,"Fructosamine Antech",96.64,2019-02-03,2618,1,,,68,MEDIUM,80,35,false,,0,0,0
INTER5,"Interceptor yellow 11.5 mg",14.9,2019-02-03,2618,1,,,40,LOW,50,4,false,,0,0,0
FN2,"Fine N. Aspirate w Cytology  Antech",195,2019-02-03,2618,1,,,70,MEDIUM,79.7,59,false,,0,0,0
ANEX3,"Deworming Ex (File  Travel  History  kg)",40,2019-02-03,2618,3,,,66,MEDIUM,62.2,37,false,,0,0,0
CSA021,"Superchem/CBC/UA  Antech",210.7,2019-02-03,2618,1,,,44,LOW,50,8,false,,0,0,0
CSA020,"Superchem / CBC Antech",162.7,2019-02-03,2618,1,,,59,MEDIUM,70,20,false,,0,0,0
126018,"Depocillian Injection",29.15,2019-02-03,2618,2,,,66,MEDIUM,75,20,false,,0,0,0
118231,"Metacam 20 mg/ml inj",32.18,2019-02-03,2618,1,,,79,HIGH,100,36,true,35.36,1,0,0
113908,"Malacetic wet wipes 100 count",37.87,2019-02-03,2618,1,,,42,LOW,28.6,63,false,,0,0,0
CANIN59,"Canine Hills h/d Can 370 G",46.92,2019-02-03,2618,1,,,57,MEDIUM,66.7,18,false,,0,0,0
SCARS,"Dewormer-Internal Parasites",12,2019-02-03,2618,3,,,76,HIGH,91.7,12,false,,0,0,0
REN 1,"Renal Advanced Cats  50 G",22,2019-02-03,2618,1,,,40,LOW,50,4,false,,0,0,0
MED170,"Medi-Cal Rc Fel Gi Fibre Response 4 Kg",50.27,2019-02-03,2618,1,,,47,LOW,55.6,9,false,,0,0,0
METRONID,"Metronidazole 50 mg/ml",15,2019-02-03,2618,1,,,30,LOW,8.5,59,false,,0,0,0
FOR,"Forbid (per package)",35.53,2019-07-11,2460,3,38.76,2019-03-19,48,LOW,50,4,false,,0,0,0
125269,"Vitamin B12 inj [1000ug]",29.36,2019-02-03,2618,4,,,53,MEDIUM,36,25,true,29.69,1,0,0
007233,"Snap Feline Leukemia & Feline Immunodefi",90,2019-02-03,2618,1,,,53,MEDIUM,48.8,82,false,,0,0,0
CFBX,"Histopathology (1-4 sites) Antech",160.57,2019-02-03,2618,1,,,70,MEDIUM,82.9,41,false,,0,0,0
125066,"Sentinel Brown (up to 4.5 kg)",12.3,2019-02-03,2618,1,,,46,LOW,50,12,false,,0,0,0
DERM1,"Dermoscent feline spot-on (staff price)",26,2019-02-03,2618,1,,,48,LOW,66.7,3,false,,0,0,0
125366,"Acepromazine 10mg tablets",15.85,2019-02-03,2618,1,,,67,MEDIUM,100,3,false,,0,0,0
MED 39,"MCRC K9 Adult 15 kg",89.12,2020-12-29,1923,2,92.5,2019-02-03,70,MEDIUM,100,3,false,,0,0,0
GEN 3A,"Bloodwork Geriatric + cPL",306,2023-01-26,1165,6,230.89,2019-12-02,77,HIGH,75,8,false,,0,0,0
AMLOO,"Amlodip lipoderm 0.625mg/0.1 ml (6 mls)",75,2019-02-03,2618,1,,,67,MEDIUM,100,3,false,,0,0,0
102559,"Diazepam Tab 5mg",21,2019-02-03,2618,1,,,40,LOW,50,4,false,,0,0,0
PA1,"Paxon Cranberry tablets",32,2019-02-03,2618,1,,,32,LOW,25,12,false,,0,0,0
SHAVE1,"Lion Shave Under Anesthesia",232,2019-02-03,2618,1,,,79,HIGH,96.9,65,false,,0,0,0
126762,"Pepcid AC 10mg ( famotidine )",18.5,2020-07-20,2085,3,12.65,2020-05-29,32,LOW,16.7,6,true,13.95,1,0,0
PILL 5,"Pill Pockets K9 Chicken 3.2 oz",7.28,2019-02-03,2618,1,,,43,LOW,31.9,47,false,,0,0,0
FEL18,"Feline Hills k/d 8.5lbs",52,2019-02-03,2618,1,,,50,MEDIUM,44.4,54,false,,0,0,0
TOLF,"Tolfedine 20 Mg Tb",15,2019-02-03,2618,1,,,38,LOW,29.2,24,false,,0,0,0
112549,"Revolution Dog 40.1-60 kg (Prune)",27.28,2019-02-03,2618,5,,,51,MEDIUM,19.5,41,false,,0,0,0
12256,"MCRC K9 MATURE CONSULT 385 g can",9,2019-02-03,2618,1,,,37,LOW,50,2,false,,0,0,0
MEDI 81,"Medi-Cal Rc Canine Fibre Formula Cans 38",36.12,2019-02-03,2618,1,,,35,LOW,25,20,false,,0,0,0
CT440,"Cortisol 2 sample (POST ACTH) Antech",144.6,2019-02-03,2618,1,,,50,MEDIUM,52.6,19,false,,0,0,0
SYN,"SYNACTHEN DEPOT 1 MG/ML INJ",32,2019-02-03,2618,1,,,60,MEDIUM,66.7,30,false,,0,0,0
T435A,"DECLINED: ACTH Stimulation(Pre 2 Posts)",159.65,2019-02-03,2618,1,,,40,LOW,50,4,true,234.9,1,0,0
129829,"Isathal Eye Gel 5 g",38,2019-02-03,2618,1,,,66,MEDIUM,73.9,69,false,,0,0,0
122539,"MCRC K9 Adult 4 kg",42.32,2021-03-31,1831,3,39.75,2021-03-30,75,HIGH,90.9,11,false,,0,0,0
PARVOK9,"Canine Parvo",35,2019-02-03,2618,2,,,84,HIGH,98.6,509,false,,0,0,0
128030,"Hills K9 H.A  Puppy 4lbs",18.24,2019-04-20,2542,5,10.94,2019-03-11,78,HIGH,85.7,7,true,20.99,1,0,0
122559,"DECLINED: MCRC K9 Mature Consult SD 3.5k",19,2019-02-03,2618,1,,,37,LOW,50,2,false,,0,0,0
123544,"MCRC Fel Development 165g",70.08,2021-01-22,1899,4,64.56,2021-01-05,54,MEDIUM,50,6,false,,0,0,0
125221A,"Revolution Cat 2.6-7.5 kg (blue)box of 6",90.48,2019-02-03,2618,1,,,45,LOW,35.7,70,false,,0,0,0
112650,"Hills K9 i/d w/ Turkey 370g (RED)",57.96,2021-11-02,1615,3,53.04,2021-08-11,66,MEDIUM,80,5,true,62.04,2,0,0
120462,"Rebound Recuperation Formula 150ml",31.28,2019-02-03,2618,1,,,40,LOW,50,4,false,,0,0,0
122647,"K9 Advantix II (11kg-25kg) per tube",35.66,2019-02-03,2618,1,,,43,LOW,33.3,42,true,99.81,1,0,0
108738,"Advantage Multi 9 Orange (cats upto 4kg)",18,2019-02-03,2618,1,,,63,MEDIUM,100,1,false,,0,0,0
TOTT4,"Total  T4 & SDMA (In Clinic)",64.2,2022-08-03,1341,4,57.78,2022-07-28,87,HIGH,91.2,68,false,,0,0,0
123542,"MCRC Feline Development 1.5 kg",24,2019-08-24,2416,5,23.1,2019-02-03,55,MEDIUM,40,10,true,31.99,1,0,0
MEDI 68,"MCRC K9 Vegetarian 385g",48.36,2019-02-03,2618,1,,,51,MEDIUM,55,20,false,,0,0,0
129131,"MCRC K9 Satiety Support 12kg",102.62,2019-02-03,2618,3,,,66,MEDIUM,71.4,14,true,150.15,1,0,0
CTP1,"THYROID PROFILE 1 CANINE",188,2019-02-03,2618,4,,,55,MEDIUM,46.2,13,false,,0,0,0
119327,"Hills Fel m/d 8.5lbs",73,2021-09-02,1676,3,68.97,2021-05-21,62,MEDIUM,75,4,false,,0,0,0
123548,"MCRC Fel Adult 165 g",72.48,2021-05-20,1781,6,68.16,2021-04-28,87,HIGH,87.5,16,false,,0,0,0
105186,"Ursodiol 250 mg Tablets",12.38,2022-09-09,1304,3,36.75,2022-08-11,48,LOW,50,4,false,,0,0,0
117025,"MCRC K9 Hypo 15 kg",124.42,2019-04-20,2542,3,122.19,2019-02-03,77,HIGH,100,6,true,105.76,2,0,0
118288,"Deramaxx 75mg",111,2019-02-03,2618,4,,,55,MEDIUM,32.6,46,false,,0,0,0
1315,"Phenobarbital Level - Idexx",154,2021-03-18,1844,3,98.01,2020-12-31,77,HIGH,100,6,true,170.6,2,0,0
125058,"Interceptor White 23mg",71.74,2019-05-22,2510,2,60.45,2019-03-30,52,MEDIUM,66.7,3,true,60.45,1,0,0
125057,"Interceptor Yellow 11.5mg",20.14,2019-02-03,2618,1,,,35,LOW,33.3,9,true,52.42,1,0,0
DISTEMP,"Canine Distemper (DAP)",35,2019-02-03,2618,1,,,80,HIGH,99.2,256,false,,0,0,0
134418,"YGIA 14 Proteobiotic for Dogs under 10kg",31.24,2019-02-03,2618,2,,,81,HIGH,95.5,44,false,,0,0,0
126780,"Nizoral Shampoo",18.02,2019-02-03,2618,1,,,45,LOW,41.7,24,false,,0,0,0
125038,"Baytril 50mg Tablet",34.8,2021-03-10,1852,3,43.92,2020-09-09,72,MEDIUM,87.5,8,true,75.84,2,0,0
111295,"Hills K9 d/d Duck 17.6lbs",93.98,2021-08-12,1697,3,88.98,2021-04-13,77,HIGH,100,6,true,105.5,2,0,0
128305,"Gabapentin 100mg",38.4,2019-04-20,2542,2,36.64,2019-04-13,51,MEDIUM,50,16,false,,0,0,0
111296,"Hills K9 d/d Salmon - 17.6lbs",100.5,2022-08-06,1338,3,71.78,2022-06-01,48,LOW,50,4,false,,0,0,0
128550,"Hills Fel c/d Multi Ckn STRESS-6.35lbs",45,2019-03-02,2591,5,90,2019-02-03,93,HIGH,97.4,38,false,,0,0,0
129823,"Dentacetic Dental Wipes - 25's",14.44,2019-02-03,2618,1,,,63,MEDIUM,100,1,false,,0,0,0
124311,"PROIN (chewable tablets) 75 mg-60 tb",73.04,2023-05-25,1046,7,69.56,2023-04-06,92,HIGH,100,12,false,,0,0,0
103615,"Doxycycline 100mg Tab",39.98,2023-10-06,912,3,149.76,2023-06-23,48,LOW,50,4,false,,0,0,0
127037,"Diphenhydramine  50 mg/ml",39.32,2019-10-23,2356,2,35.88,2019-09-19,70,MEDIUM,100,3,false,,0,0,0
125450,"Teva Cephalex 500 mg tablets",32.16,2019-02-03,2618,1,,,36,LOW,30.8,13,false,,0,0,0
RHEUMOC,"Rheumocam 1.5mg/ml in house",15,2019-02-03,2618,1,,,41,LOW,33.3,27,false,,0,0,0
CANIN31,"Canine Hills u/d 27.5 lbs",120.01,2019-02-03,2618,1,,,41,LOW,40,15,false,,0,0,0
134419,"YGIA 14 Proteobiotic for dogs over 10kg",51.34,2019-02-03,2618,3,,,88,HIGH,98.5,65,false,,0,0,0
124179,"Hills K9 Metabolic 6lbs",35.99,2019-02-03,2618,2,,,77,HIGH,85.2,169,true,49,2,0,0
118397,"Dolpac 10",19.16,2019-02-03,2618,1,,,36,LOW,27.3,22,false,,0,0,0
118018,"MCRC Fel Calorie Control 3 kg",58.49,2019-03-02,2591,6,56.17,2019-02-03,95,HIGH,100,21,false,,0,0,0
109578,"Deramaxx 25mg",40.8,2019-02-03,2618,1,,,45,LOW,34,53,false,,0,0,0
128035,"Hills K9 H.A  Adult SB 12lb",35.53,2019-02-03,2618,1,,,65,MEDIUM,100,2,false,,0,0,0
EASE,"DECLINED: Nutraease 100 capsules per box",48.48,2019-02-03,2618,1,,,68,MEDIUM,100,4,false,,0,0,0
130007,"Hills K9 Metab & Mobil ckn - 9.5lbs",60.98,2019-05-15,2517,6,59,2019-02-14,93,HIGH,100,13,false,,0,0,0
506,"DECLINED: Nutravet Nutracoat dogs & cats",44.32,2019-02-03,2618,1,,,67,MEDIUM,100,3,false,,0,0,0
116985,"Vetoryl 60mg x 30's",148.66,2022-04-22,1444,3,147.19,2022-03-16,77,HIGH,100,5,false,,0,0,0
130011,"Hills Fel Metabolic +Urin Ckn Stew - 85g",57.84,2021-01-25,1896,3,231.36,2020-11-21,62,MEDIUM,75,4,false,,0,0,0
MED1E,"MCRC K9 GI High Energy 385 G",23.94,2019-09-20,2389,2,3.93,2019-02-03,34,LOW,33.3,3,false,,0,0,0
PRICRE44,"Private Cremation w/ Urn +45kg",320,2019-02-03,2618,8,,,82,HIGH,81.8,11,false,,0,0,0
4628,"Hills Fel j/d 156g",67.92,2019-02-03,2618,1,,,69,MEDIUM,88.2,17,false,,0,0,0
131231,"MCRC K9 Renal Support A 8kg",116.58,2024-05-21,684,4,112.1,2023-12-16,82,HIGH,100,7,false,,0,0,0
113032,"Atopica 100mg capsules- 15's BOX",103.8,2021-04-14,1817,3,98.82,2021-01-14,66,MEDIUM,80,5,false,,0,0,0
113031,"Atopica 50mg capsules -15's BOX",173.64,2020-07-02,2103,4,115.76,2020-05-01,81,HIGH,100,6,true,57.88,2,0,0
125468,"Prednisone 5mg Tabs (Teva)",15,2019-02-03,2618,2,,,41,LOW,25.9,27,true,12.7,1,0,0
112549A,"Revolution Dog 40.4-60 kg(prune)box of 6",136.88,2019-04-18,2544,4,130.95,2019-03-26,66,MEDIUM,71.4,7,false,,0,0,0
115225,"Optixcare Eye Lube (GREEN) -20 g",74.9,2019-04-30,2532,2,14.98,2019-04-23,62,MEDIUM,80,5,true,14.98,2,0,0
CANIN75,"Hills K9 r/d 350g",30.6,2019-02-03,2618,1,,,37,LOW,50,2,false,,0,0,0
118120,"Rayne LowFat Kandgaroo 400g",55.44,2019-02-03,2618,1,,,48,LOW,66.7,3,false,,0,0,0
PRICR333,"Private Cremation w/ Urn 10.1kg-45kg",280,2019-02-03,2618,20,,,91,HIGH,84.5,58,false,,0,0,0
132417,"Hepatosyl-LQ (S-Adenosyl) 60's",107.24,2019-02-03,2618,1,,,42,LOW,33.3,36,false,,0,0,0
MED1D,"MCRC K9 GI High Energy 10 kg",98,2019-02-03,2618,3,,,52,MEDIUM,34.5,84,true,108.64,1,0,0
124097,"Clindamycin 150mg",22,2020-02-13,2243,6,25.16,2019-11-30,80,HIGH,75,16,true,19.4,1,0,0
131649,"Osurnia Otic Gel (2x1ml)",45.43,2019-02-03,2618,12,,,83,HIGH,69.6,293,false,,0,0,0
116342,"Pro Otic Ear Cleanser 8oz",14.52,2019-04-05,2557,2,13.98,2019-03-09,77,HIGH,100,11,true,13.98,2,0,0
120477,"Elavil 10mg",36,2022-07-19,1356,3,14.85,2022-05-07,77,HIGH,100,6,false,,0,0,0
121594,"Oridermyl 10g",38,2023-11-20,867,7,37.12,2023-08-25,94,HIGH,100,17,false,,0,0,0
125409,"Amoxicillin 250mg/5ml -100ml Bottle",23.5,2019-04-05,2557,3,12.11,2019-02-03,55,MEDIUM,60,5,true,27.12,2,0,0
132010,"Hills K9 Derm Defense 2.72 kg",44.99,2019-03-30,2563,9,42.98,2019-02-03,94,HIGH,100,17,false,,0,0,0
113024,"Simparica 20mg (5.1-10.0kg) Tan",108.64,2019-05-01,2531,2,21.44,2019-04-08,70,MEDIUM,100,3,false,,0,0,0
125223A,"Revolution Dog 5.1-10 kg(brown)box of 6",100.12,2019-04-24,2538,2,191.56,2019-02-03,62,MEDIUM,80,5,true,112.16,2,0,0
130654,"Aventi Hairball Paste 50ml",10.96,2022-12-01,1221,3,9.96,2022-10-06,76,HIGH,100,4,false,,0,0,0
127380,"Hills K9 d/d Venison 17.6lbs",117.99,2023-08-18,961,4,105.49,2023-04-28,58,MEDIUM,60,5,false,,0,0,0
105,"Blood Pressure Test/Monitor",25,2019-02-03,2618,5,,,90,HIGH,100,16,false,,0,0,0
125225 A,"Revolution Dog 20.1-40kg (teal) box of 6",132.82,2019-03-06,2587,5,126.52,2019-02-03,80,HIGH,81.3,16,true,141.68,2,0,0
119316,"Hills K9 w/d 17.6lbs",67.78,2019-08-30,2410,8,73,2019-05-24,85,HIGH,85.7,14,true,88.48,1,0,0
102,"Anesthesia  Monitoring",36,2019-05-16,2516,4,60,2019-02-03,47,LOW,40,5,false,,0,0,0
COUR,"Courier Fee",57.9,2019-03-27,2566,4,27,2019-03-21,79,HIGH,90.9,11,true,68,1,0,0
126234,"Clotrimaderm Crm 1% 30g",16.6,2019-02-03,2618,1,,,57,MEDIUM,75,8,false,,0,0,0
100535,"Nizoral Shampoo",18.9,2019-02-03,2618,2,,,70,MEDIUM,100,3,false,,0,0,0
125039,"Baytril 150mg Tablet",185.1,2019-11-20,2328,2,46.62,2019-10-12,52,MEDIUM,66.7,3,true,52.39,1,0,0
119321,"Hills K9 z/d 17.6 lbs",103.99,2019-04-07,2555,4,99.99,2019-02-03,47,LOW,40,5,false,,0,0,0
132406,"Douxo Pyo Pads",27.44,2021-01-22,1899,4,54.88,2020-11-06,58,MEDIUM,57.1,7,false,,0,0,0
121219,"Omeprazole 10mg",28.5,2019-02-03,2618,2,,,33,LOW,22.2,9,true,41.68,2,0,0
METO S,"Metoclopramide 10 mg/ml summit",28.8,2019-02-03,2618,1,,,63,MEDIUM,100,1,false,,0,0,0
CAT4,"chem 10 in clinic",150,2022-02-25,1500,5,130,2021-12-17,85,HIGH,100,6,false,,0,0,0
106,"ECG in Clinic( 3 readings)",125,2019-02-03,2618,1,,,48,LOW,53.8,13,false,,0,0,0
129407,"Hills Fel c/d Stress -13lbs",72.42,2019-02-03,2618,1,,,48,LOW,50,18,true,74.26,1,0,0
109400,"Hills Fel m/d 8.5lbs",65,2019-02-03,2618,1,,,45,LOW,41.7,24,false,,0,0,0
120545,"Hills K9 d/d Venison 25 lbs",96.01,2019-02-03,2618,1,,,50,MEDIUM,48.5,33,false,,0,0,0
128031,"Hills Healthy Advantage PUPPY 28lbs",83.58,2019-02-03,2618,2,,,44,LOW,31.3,32,true,85.42,2,0,0
128050,"Hills Fel Healthy Adv Adult 3 lb",19.99,2019-02-03,2618,2,,,51,MEDIUM,60,5,false,,0,0,0
MEDI-CAL,"MCRC K9 Weight Control 14 kg",95.56,2019-02-03,2618,1,,,61,MEDIUM,68.8,32,true,107.69,1,0,0
134071,"Gabapentin 400mg caps",38.4,2019-02-03,2618,5,,,75,HIGH,61.8,68,false,,0,0,0
104376,"Hills Fel c/d Ocean Fish 156g",51.12,2019-02-03,2618,1,,,43,LOW,37,27,false,,0,0,0
133996,"Hills K9 d/d Duck 25lbs",127.99,2022-12-29,1193,4,119,2022-11-08,69,MEDIUM,80,5,false,,0,0,0
129807,"Malacetic wet wipes 25's",20.3,2019-02-03,2618,2,,,59,MEDIUM,71.4,7,false,,0,0,0
122691,"Interceptor Plus Chew Blue (22.8-45.4KG)",31.08,2019-02-03,2618,1,,,60,MEDIUM,61.4,83,false,,0,0,0
129358,"Apo- Hydroxyzine 10 mg capsule",15,2019-02-03,2618,1,,,43,LOW,40,20,false,,0,0,0
112839,"Trazodone 50 mg",12.72,2019-02-03,2618,2,,,37,LOW,33.3,6,true,19.2,1,0,0
ORA 2,"Dental x-ray additional",70,2023-01-05,1186,3,35,2022-12-30,59,MEDIUM,66.7,6,false,,0,0,0
MANUK,"Manuka Honey Bandage",35,2019-02-03,2618,1,,,77,HIGH,100,24,true,6.25,1,0,0
119432,"PROHEX (2% Chlor/gluc) Shampoo",20.42,2019-04-27,2535,3,18.42,2019-02-03,62,MEDIUM,75,4,false,,0,0,0
124181,"Hills K9 Metabolic - 27.5lbs",174,2023-09-30,918,10,161.5,2023-04-25,75,HIGH,66.7,15,false,,0,0,0
MED1C2,"MCRC Feline GI High Energy 4 kg",54.25,2019-02-03,2618,2,,,58,MEDIUM,75,4,false,,0,0,0
MED1C,"MCRC K9 GI High Energy 4 kg",41.12,2019-02-03,2618,1,,,37,LOW,37.5,8,false,,0,0,0
CDLSR1,"CD Laser speed healing add on",10,2019-02-03,2618,1,,,70,MEDIUM,100,7,false,,0,0,0
122534,"MCRC K9 Development 385 g",5.54,2019-05-14,2518,5,23.28,2019-04-30,39,LOW,16.7,6,true,50.52,1,0,0
4165779,"Fenbendazole 200mg/mL",36.15,2019-02-03,2618,5,,,46,LOW,13.3,30,true,56.4,2,0,0
132194,"Rayne LowFat Kangaroo 3kg",65,2021-04-06,1825,3,47.53,2021-03-22,76,HIGH,100,4,false,,0,0,0
129360,"Apo- Hydroxyzine 50 mg capsule",31.2,2019-02-03,2618,2,,,41,LOW,25.8,31,false,,0,0,0
129359,"Apo Hydroxizine 25mg",12.29,2023-09-07,941,2,17.8,2019-02-03,52,MEDIUM,66.7,3,false,,0,0,0
132262,"MCRC K9 Original Treats 500g",12.59,2019-02-03,2618,3,,,67,MEDIUM,77.8,9,false,,0,0,0
128040,"Hills K9 H.A  Adult Oral 28lbs",85.99,2019-02-03,2618,1,,,72,MEDIUM,100,10,false,,0,0,0
132308,"Douxo Calm Micro Emulsion Spay 200ml",24.93,2019-09-18,2391,5,48.4,2019-05-06,87,HIGH,100,9,false,,0,0,0
MEDI 151,"MCRC Feline Mobility 4 kg",53.55,2019-02-03,2618,2,,,66,MEDIUM,85.7,7,false,,0,0,0
123570,"MCRC Fel Senior Consult - 165g",70.8,2019-05-21,2511,7,65.52,2019-02-27,90,HIGH,93.3,15,true,35.4,2,0,0
109012,"PROSEB Shampoo 16oz",18.42,2019-02-03,2618,3,,,77,HIGH,100,6,false,,0,0,0
122690,"Interceptor PlusChew Yellow(11.4-22.7 KG",12,2019-02-03,2618,1,,,38,LOW,30.4,23,true,12,1,0,0
129016,"MCRC Fel Hypo 165 g",70.8,2020-01-13,2274,3,66,2019-12-28,70,MEDIUM,85.7,7,true,70.8,2,0,0
101361,"Avena Sativa Ear Cleaner 250 ml",11.98,2019-02-03,2618,4,,,82,HIGH,90.5,21,false,,0,0,0
112647,"Hills K9 d/d Duck - 370g",51.96,2020-03-26,2201,3,17.32,2019-09-30,78,HIGH,100,7,true,38.97,1,0,0
133921,"MCRC K9 SelProtein KO 14kg",99.62,2019-02-03,2618,2,,,74,MEDIUM,92.9,14,false,,0,0,0
120579,"Oculflox 0.3 % 5 ml",38.58,2019-02-03,2618,3,,,60,MEDIUM,48.9,45,true,29.56,1,0,0
NURI,"Nutri-Cal 120.5gm",16.8,2019-02-03,2618,1,,,40,LOW,32.1,28,false,,0,0,0
116354,"Profender Small 2.6-5 kg",57.8,2022-05-19,1417,3,23.6,2022-04-28,48,LOW,50,4,true,76.72,1,0,0
