treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
WC1,"Cytology w/ Micro Description (1 site)",262.5,2025-04-12,358,7,,,94,HIGH,100,17,false,,0,17,4462.5
132100,"APOQUEL Tabs 5.4mg - 100's",283.64,2022-11-18,1234,6,482.46,2022-06-25,67,MEDIUM,54.5,11,false,,0,1,4454.85
140559,"Nexgard Combo 2.5 - 7.5kg Feline",40.2,2025-08-07,241,5,60.36,2025-07-23,73,MEDIUM,61.1,36,true,38.73,2,77,4443.2
115191,"Cerenia Injection",42.97,2021-07-10,1730,2,33.19,2021-06-25,34,LOW,33.3,3,true,54.86,1,98,4431.1
HERF,"Health Exam Recheck - Feline",69,2025-12-11,115,3,65,2025-11-10,83,HIGH,100,17,false,,0,67,4427
137069,"Fel Hills c/d stress chicken - 8.5lb",86.61,2025-08-25,223,6,84.81,2025-07-17,82,HIGH,75,24,true,90.08,2,49,4364.29
0929,"Senior Canine Package Promo",385,2019-02-03,2618,2,,,48,LOW,43.8,16,true,395,1,11,4345
142835,"Apoquel Chewable tab 5.4mg (100 tabs)",4253.25,2025-05-07,333,1,,,63,MEDIUM,100,1,false,,0,1,4253.25
THMD<20,"Take Home Medication Surgery <20lb",30,2025-01-21,439,15,,,98,HIGH,96,174,false,,0,128,4250
DENTCALG,"Dental Clean (incl. polish) Canine >50lb",400,2025-01-06,454,9,242.5,2023-05-27,85,HIGH,85.7,14,false,,0,10,4120
120001,"PVD Fel UR ST/OX - 2.72kg",52.38,2025-11-04,152,3,51.35,2025-10-28,80,HIGH,91.7,24,true,54.47,2,79,4116.72
3YEARS,"Canine Da2ppv 5 way 3 years",30,2022-08-06,1338,44,27,2022-07-27,99,HIGH,98.6,623,false,,0,137,4089
104861,"Metacam Oral 1.5mg/ml Bct 10ml",44.24,2025-08-01,247,6,43.3,2025-06-27,94,HIGH,89.2,74,true,43.84,2,93,4060.56
UPCRECK,"Urgent Pet Care Recheck Visit",79,2025-11-14,142,4,60,2025-11-08,84,HIGH,94.4,18,false,,0,63,4058
132339,"Aventi Liver Complete Dogs & Cats -90s",133.32,2025-02-21,408,7,127.47,2025-02-13,87,HIGH,85.7,21,true,154.59,2,27,3909.27
125657,"Hills Fel t/d - 4lbs",47.33,2025-09-08,209,5,47.32,2025-08-29,91,HIGH,92.7,41,true,49.22,1,83,3907.54
K95WAY,"Canine Da2ppv (5 way)",30,2022-11-01,1251,40,15,2022-10-15,99,HIGH,98.7,387,false,,0,129,3876.5
3VW,"X-Rays  Additional",82,2025-02-11,418,12,164,2024-12-04,93,HIGH,87.5,56,false,,0,42,3851.5
140366,"Librela (30.1-40kg) per vial",96.53,2025-08-06,242,6,84.45,2025-07-26,94,HIGH,100,16,true,103.77,1,43,3839.99
0011,"Canine Spay < 15  kg",291.6,2025-02-27,402,7,350,2024-12-12,92,HIGH,94.7,19,true,207.96,2,13,3818.28
117787,"MCRC Feline Urinary SO 3.5 kg",68.38,2025-06-17,292,8,66.15,2025-06-03,97,HIGH,97.5,40,true,71.11,1,55,3750.02
140510,"RC Fel Satiety - 145g",151.68,2025-11-17,139,3,75.84,2025-10-21,62,MEDIUM,75,4,true,78.72,2,33,3734.68
GPCU,"Geriatric Panel + Pancreatic Lipase + UA",331.9,2025-04-05,365,5,,,88,HIGH,100,11,false,,0,11,3650.9
LP15,"Lumpectomy Per 15 Mintutes",200,2025-03-08,393,5,150,2025-03-07,79,HIGH,78.9,19,true,400,2,14,3650
BCUF,"Blocked/unblocking - FLUT flush (per hr)",550,2025-12-03,123,2,110,2025-09-24,74,MEDIUM,100,6,false,,0,9,3630
119322,"Hills Fel c/d Chicken - 8.5lbs",80.36,2025-07-17,262,7,79.45,2025-06-27,92,HIGH,92,25,true,83.58,1,39,3612.21
AIP15,"Anesthesia - Isoflurane Per 15 Mins",138,2025-12-10,116,4,276,2025-10-29,63,MEDIUM,66.7,6,false,,0,14,3588
FL,"Fluorescein Eye Stain(per patient)",42.1,2022-08-03,1341,42,37.89,2022-07-29,100,HIGH,99.2,381,false,,0,84,3536.4
